candidate_id,ticker,owner_name,title,entry_trade_day,transaction_date,trade_date,buy_datetime,buy_price,last_price,value,live_entry_bucket,prev_regular_close,live_gap_to_entry_pct,current_prod4_score,baseline_replay_score,gap_feature_replay_score,gap_score_delta,current_prod4_rank,baseline_replay_rank,gap_feature_replay_rank,rank_change_gap_vs_baseline,actually_traded,actual_status,sleeve_id
EOSE|2026-03-04|2026-03-08 14:52:23,EOSE,Mastrangelo Joe,CEO,2026-03-09,2026-03-05 08:48:21,2026-03-04 00:00:00,2026-03-09 09:30:00,6.16,$6.58,"+$157,262",open,6.13,0.4893964110929794,0.9098323397058944,1.8682394139459482,1.092272472465099,-0.7759669414808492,23,5,18,-13,True,filled,sleeve_1
XRAY|2026-03-02|2026-03-08 14:52:23,XRAY,Lucier Gregory T,Dir,2026-03-09,2026-03-03 19:12:19,2026-03-02 00:00:00,2026-03-09 09:30:00,12.62,$14.15,"+$707,379",open,12.74,-0.9419152276295195,0.855884777906824,1.6649591131116743,1.0851441879000945,-0.5798149252115798,26,10,19,-9,True,filled,sleeve_1
ABTC|2026-03-05|2026-03-09 10:52:46,ABTC,Busch Richard,Dir,2026-03-09,2026-03-09 06:30:03,2026-03-05 00:00:00,2026-03-09 09:30:00,1.11,$1.15,"+$78,200",open,1.09,1.8348623853211121,1.0845158303992788,1.2334260461211586,1.0775075165097063,-0.15591852961145225,16,18,20,-2,True,filled,sleeve_1
CLRO|2026-03-02|2026-03-08 14:52:23,CLRO,First Finance Ltd.,10%,2026-03-09,2026-03-06 06:02:39,2026-03-02 00:00:00,2026-03-09 09:30:00,4.56,$4.00,"+$1,750,000",open,4.55,0.219780219780219,0.7970058439241154,0.9622996603026506,1.031843958619318,0.06954429831666742,29,26,21,5,False,,
HYMC|2026-03-05|2026-03-08 14:52:23,HYMC,Sprott Eric,10%,2026-03-09,2026-03-06 16:11:40,2026-03-05 00:00:00,2026-03-09 09:30:00,37.89,$40.85,"+$4,085,000",open,38.79,-2.3201856148491795,0.801417353259504,1.1688566403379546,1.0093713809557494,-0.15948525938220515,28,19,22,-3,False,,
SSP|2026-03-04|2026-03-08 14:52:23,SSP,Klenzing Margaret Scripps,10%,2026-03-09,2026-03-06 17:00:09,2026-03-04 00:00:00,2026-03-09 09:30:00,4.8,$4.29,"+$1,117,321",open,4.57,5.032822757111588,1.1154161512588312,0.7989132427461663,1.0058630101549506,0.20694976740878435,15,30,23,7,True,filled,sleeve_1
VITL|2026-03-02|2026-03-08 14:52:23,VITL,Cyr William B.,Dir,2026-03-09,2026-03-04 17:30:03,2026-03-02 00:00:00,2026-03-09 09:30:00,19.7,$20.70,"+$98,325",open,19.89,-0.9552538964303747,0.7408219977249576,1.0011961800840177,0.9726338603280679,-0.028562319755949805,34,23,24,-1,False,,
GPK|2026-03-04|2026-03-08 14:52:23,GPK,Venturelli Larry M,Dir,2026-03-09,2026-03-05 16:05:11,2026-03-04 00:00:00,2026-03-09 09:30:00,11.06,$11.36,"+$199,194",open,11.22,-1.4260249554367221,0.7360624486959515,0.8514544909245035,0.9402898430029014,0.08883535207839788,36,28,25,3,False,,
NAII|2026-02-27|2026-03-08 14:52:23,NAII,Ledoux Mark A,"CEO, COB, 10%",2026-03-09,2026-03-03 19:23:35,2026-02-27 00:00:00,2026-03-09 09:30:00,2.74,$2.82,"+$2,820",open,2.73,0.366300366300365,0.7690517266870578,0.99063434371223,0.8491403602677658,-0.14149398344446418,31,24,26,-2,False,,
KDOZF|2026-03-03|2026-03-08 14:52:23,KDOZF,Williams Tryon M,"COB, 10%",2026-03-09,2026-03-03 18:50:23,2026-03-03 00:00:00,2026-03-09 09:30:00,0.232,$0.25,"+$1,245",open,0.23,0.8695652173912993,1.3276297152698788,1.691909095021933,0.834827913173839,-0.8570811818480941,9,9,27,-18,False,,
FA|2026-03-02|2026-03-08 14:52:23,FA,Nairne Douglas,Global COO,2026-03-09,2026-03-03 17:12:16,2026-03-02 00:00:00,2026-03-09 09:30:00,11.89,$11.86,"+$106,740",open,12.06,-1.4096185737976774,0.7226959427452988,0.10918965523559476,0.7917031449671152,0.6825134897315205,38,37,28,9,False,,
