candidate_id,ticker,status,signal_score,estimated_decile_score,sleeve_id,entry_bucket,entry_trade_day,intended_entry_at,expires_at,replacement_for_lot_id,last_reason,last_updated_at
APCX|2026-02-27|2026-03-08 14:52:23,APCX,expired,1.2369529840699018,0.9673738114618328,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
HYMC|2026-03-04|2026-03-08 14:52:23,HYMC,filled,1.1729085078812869,0.9634576945795328,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
NAUT|2026-03-04|2026-03-08 14:52:23,NAUT,filled,1.171043084011092,0.9633096693785764,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
SSP|2026-03-04|2026-03-08 14:52:23,SSP,filled,1.1154161512588312,0.9587989274769972,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
LAW|2026-03-02|2026-03-08 14:52:23,LAW,expired,1.0432894327740685,0.95220100337243,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
KDOZF|2026-03-06|2026-03-08 14:52:23,KDOZF,expired,0.998168138753359,0.9473342292812768,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
TTEC|2026-03-02|2026-03-08 14:52:23,TTEC,filled,0.9182980785018036,0.9382665965866246,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
NRGV|2026-03-04|2026-03-08 14:52:23,NRGV,filled,0.9176127108317272,0.9381808930497266,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
EOSE|2026-03-04|2026-03-08 14:52:23,EOSE,filled,0.9098323397058944,0.9372079768282944,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
RUN|2026-03-03|2026-03-08 14:52:23,RUN,filled,0.8797799543079555,0.9330780717414354,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
WD|2026-03-02|2026-03-08 14:52:23,WD,expired,0.8623473705046218,0.9303750943781268,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
XRAY|2026-03-02|2026-03-08 14:52:23,XRAY,filled,0.855884777906824,0.9293363384660572,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
KDOZF|2026-03-04|2026-03-08 14:52:23,KDOZF,expired,0.8470391335403179,0.9278844839144726,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
