ticker,candidate_id,lot_id,status,entry_trade_day,opened_at,due_exit_at,signal_score,estimated_decile_score,entry_fill_qty,entry_fill_count,prev_close_day,prev_close,buy_day_open,overnight_gap_pct,entry_avg_price,outcome_day,outcome_basis,outcome_close,actual_return_pct,current_mark_return_pct,realized_return_pct,last_mark_price
NRGV,NRGV|2026-03-04|2026-03-08 14:52:23,lot_91bc1059cbdf40af,closed,2026-03-09,2026-03-09T13:32:28+00:00,2026-03-11T09:30:00-04:00,0.9176127108317272,0.9381808930497266,39,1,2026-03-06,3.02,2.96,-1.9867549668874163,3.02,2026-03-11,tplus2_close,3.405,12.74834437086092,4.635761589403975,3.7802640516216743,3.16
QSI,QSI|2026-03-05|2026-03-09 10:52:46,lot_0b2efc0bf0334865,closed,2026-03-09,2026-03-09T13:32:19+00:00,2026-03-11T09:30:00-04:00,1.663856824708849,0.9831620655551696,176,1,2026-03-06,0.8618,0.875,1.5316778834996603,0.8942999999999999,2026-03-11,tplus2_close,1.03,15.17387901151741,17.410265011741053,14.516737316133504,1.05
RUN,RUN|2026-03-03|2026-03-08 14:52:23,lot_a530b6e80c4f4e32,closed,2026-03-09,2026-03-09T13:32:30+00:00,2026-03-11T09:30:00-04:00,0.8797799543079555,0.9330780717414354,10,1,2026-03-06,11.34,11.155,-1.6313932980599688,10.92,2026-03-11,tplus2_close,12.685,16.16300366300367,12.637362637362637,10.987225274725274,12.3
SABR,SABR|2026-02-27|2026-03-08 14:52:23,lot_d2d3abc3d53d4e21,closed,2026-03-09,2026-03-09T13:32:19+00:00,2026-03-11T09:30:00-04:00,1.8459859942526404,0.986665083343003,106,2,2026-03-06,1.59,1.54,-3.1446540880503138,1.5,2026-03-11,tplus2_close,1.675,11.66666666666667,11.333333333333329,10.69140251572326,1.67
SABR,SABR|2026-02-27|2026-03-08 14:52:23,lot_e0c26b0059e8435b,closed,2026-03-09,2026-03-09T13:33:07+00:00,2026-03-11T09:30:00-04:00,1.8459859942526404,0.986665083343003,79,1,2026-03-06,1.59,1.54,-3.1446540880503138,1.5,2026-03-11,tplus2_close,1.675,11.66666666666667,11.333333333333329,11.809784810126574,1.67
SABR,SABR|2026-02-27|2026-03-08 14:52:23,lot_75f81d6778324764,closed,2026-03-09,2026-03-09T13:35:49+00:00,2026-03-11T09:30:00-04:00,1.8459859942526404,0.986665083343003,790,2,2026-03-06,1.59,1.54,-3.1446540880503138,1.52,2026-03-11,tplus2_close,1.675,10.197368421052634,11.184210526315773,10.842434210526312,1.69
SSP,SSP|2026-03-03|2026-03-08 14:52:23,lot_6c81b500756d4b0c,closed,2026-03-09,2026-03-09T13:32:22+00:00,2026-03-11T09:30:00-04:00,1.2887615410779183,0.9701049610188592,31,1,2026-03-06,4.57,4.77,4.376367614879628,4.72,2026-03-11,tplus2_close,4.2099,-10.8072033898305,-0.8474576271186418,-2.806208993985781,4.68
SSP,SSP|2026-03-04|2026-03-08 14:52:23,lot_bea93439817c4290,closed,2026-03-09,2026-03-09T13:32:25+00:00,2026-03-11T09:30:00-04:00,1.1154161512588312,0.9587989274769972,29,1,2026-03-06,4.57,4.77,4.376367614879628,4.72,2026-03-11,tplus2_close,4.2099,-10.8072033898305,-0.8474576271186418,-2.8533423436586833,4.68
THRY,THRY|2026-02-27|2026-03-08 14:52:23,lot_61570f0cecf8418c,closed,2026-03-09,2026-03-09T13:32:23+00:00,2026-03-11T09:30:00-04:00,1.2887323321128736,0.9701037135895156,46,1,2026-03-06,3.18,3.1,-2.515723270440251,3.13,2026-03-11,tplus2_close,3.115,-0.4792332268370503,-0.9584664536741117,-1.339748576191129,3.1
THRY,THRY|2026-03-02|2026-03-08 14:52:23,lot_2fcd448e92914606,closed,2026-03-09,2026-03-09T13:32:31+00:00,2026-03-11T09:30:00-04:00,0.7858030488469744,0.9163677856804822,32,1,2026-03-06,3.18,3.1,-2.515723270440251,3.13,2026-03-11,tplus2_close,3.115,-0.4792332268370503,-0.9584664536741117,-1.643610223642173,3.1
