section,scope,level,feature,n_obs,pearson_corr,spearman_corr,mean_target_pct,bucket,mean_improvement_pct,median_improvement_pct,stop_rate_pct,baseline_mean_ret_pct
sign_bucket,val,date,benchmark_prev_day_ret_pct,157,,,,positive,0.22339925875258107,0.3279743821659956,33.71158967572356,0.35547030022965576
sign_bucket,val,date,benchmark_prev_day_ret_pct,112,,,,non_positive,0.18147918188468568,0.18693614399954553,37.827127989492475,0.32430111773556164
sign_bucket,val,date,benchmark_prev_5d_ret_pct,163,,,,positive,0.2195390490262273,0.2946693666540517,34.022469366644806,0.31632129101919326
sign_bucket,val,date,benchmark_prev_5d_ret_pct,106,,,,non_positive,0.1850423302260847,0.1690387981134795,37.58203214291181,0.3827376593048148
correlation,test,trade,benchmark_same_day_ret_pct,5961,-0.00036957823717047333,0.018044248475313256,0.24003723453870446,,,,,
correlation,test,trade,benchmark_prev_day_ret_pct,5961,-0.019218208017213786,-0.016386717260431234,0.24003723453870446,,,,,
correlation,test,trade,benchmark_prev_5d_ret_pct,5961,0.01782744687038298,0.015040866417821076,0.24003723453870446,,,,,
sign_bucket,test,trade,benchmark_same_day_ret_pct,3359,,,,positive,0.1996833317302593,0.0,39.92259601071748,0.5755003501041975
sign_bucket,test,trade,benchmark_same_day_ret_pct,2602,,,,non_positive,0.29213130046244284,0.0,32.590315142198314,0.3990113189853959
sign_bucket,test,trade,benchmark_prev_day_ret_pct,3433,,,,positive,0.23447640608144282,0.0,34.780075735508305,0.4867721852607048
sign_bucket,test,trade,benchmark_prev_day_ret_pct,2528,,,,non_positive,0.24758878679099047,0.0,39.359177215189874,0.5143371107594937
sign_bucket,test,trade,benchmark_prev_5d_ret_pct,3665,,,,positive,0.3136926433356069,0.0,36.643929058663026,0.38805694515688954
sign_bucket,test,trade,benchmark_prev_5d_ret_pct,2296,,,,non_positive,0.12246446744783002,0.0,36.846689895470384,0.6746970487804878
correlation,test,date,benchmark_same_day_ret_pct,244,0.012752633501831355,0.02654883340176315,0.284551855932585,,,,,
correlation,test,date,benchmark_prev_day_ret_pct,244,-0.05484563244410407,-0.020853779027758697,0.284551855932585,,,,,
correlation,test,date,benchmark_prev_5d_ret_pct,244,0.06519848607792547,0.03281967148604917,0.284551855932585,,,,,
sign_bucket,test,date,benchmark_same_day_ret_pct,139,,,,positive,0.23996424265804506,0.17673509462248282,38.945117441047906,0.5128095220404445
sign_bucket,test,date,benchmark_same_day_ret_pct,105,,,,non_positive,0.3435773630293568,0.15544508886358324,32.18239030636695,0.3418300268244506
sign_bucket,test,date,benchmark_prev_day_ret_pct,138,,,,positive,0.3148605390495436,0.14930599199046138,34.52184560842767,0.41100476800045194
sign_bucket,test,date,benchmark_prev_day_ret_pct,106,,,,non_positive,0.24509338168597838,0.27403519241736274,38.00478879727519,0.4759813056238371
sign_bucket,test,date,benchmark_prev_5d_ret_pct,157,,,,positive,0.3800525802495641,0.21280844616562825,36.39033607380192,0.3635517772983386
sign_bucket,test,date,benchmark_prev_5d_ret_pct,87,,,,non_positive,0.11221146837205928,0.15250475929565752,35.39355796422169,0.5758051418890797
