"ticker","market_category","market","primary_exchange","active","found"
"MYSE","NASDAQ","stocks","XNAS","True","True"
"MYSZ","NASDAQ","stocks","XNAS","True","True"
"NAII","NASDAQ","stocks","XNAS","True","True"
"NAUT","NASDAQ","stocks","XNAS","True","True"
"NCLH","NYSE","stocks","XNYS","True","True"
"NEO","NASDAQ","stocks","XNAS","True","True"
"NEOG","NASDAQ","stocks","XNAS","True","True"
"NEXT","NASDAQ","stocks","XNAS","True","True"
"NFE","NASDAQ","stocks","XNAS","True","True"
"NKGN","OTC","otc","OTC Link","True","True"
"NLST","OTC","otc","OTC Link","True","True"
"NMTC","NASDAQ","stocks","XNAS","True","True"
"NNOX","NASDAQ","stocks","XNAS","True","True"
"NSPR","NASDAQ","stocks","XNAS","True","True"
"NTHI","NASDAQ","stocks","XNAS","True","True"
"NUTX","NASDAQ","stocks","XNAS","True","True"
"NVCR","NASDAQ","stocks","XNAS","True","True"
"NWTG","NASDAQ","stocks","XNAS","True","True"
"NXL","NASDAQ","stocks","XNAS","True","True"
"NXXT","NASDAQ","stocks","XNAS","True","True"
"OB","non tradable","","","","False"
"OBIO","NASDAQ","stocks","XNAS","True","True"
"OGN","NYSE","stocks","XNYS","True","True"
"ONCY","NASDAQ","stocks","XNAS","True","True"
"OPEN","NASDAQ","stocks","XNAS","True","True"
"OPTT","AMEX","stocks","XASE","True","True"
"OSUR","NASDAQ","stocks","XNAS","True","True"
"OTLC","OTC","otc","OTC Link","True","True"
"OVID","NASDAQ","stocks","XNAS","True","True"
"OXBR","NASDAQ","stocks","XNAS","True","True"
"PCSA","NASDAQ","stocks","XNAS","True","True"
"PDYN","NASDAQ","stocks","XNAS","True","True"
"PEPG","NASDAQ","stocks","XNAS","True","True"
"PESI","NASDAQ","stocks","XNAS","True","True"
"PGEN","NASDAQ","stocks","XNAS","True","True"
"PHIO","NASDAQ","stocks","XNAS","True","True"
"PLUG","NASDAQ","stocks","XNAS","True","True"
"PLX","AMEX","stocks","XASE","True","True"
"PLYX","NASDAQ","stocks","XNAS","True","True"
"PMCB","NASDAQ","stocks","XNAS","True","True"
"PRLD","NASDAQ","stocks","XNAS","True","True"
"PRME","NASDAQ","stocks","XNAS","True","True"
"PROP","NASDAQ","stocks","XNAS","True","True"
"PRPO","NASDAQ","stocks","XNAS","True","True"
"PSQH","NYSE","stocks","XNYS","True","True"
"PSTV","NASDAQ","stocks","XNAS","True","True"
"PTLO","NASDAQ","stocks","XNAS","True","True"
"PUMP","NYSE","stocks","XNYS","True","True"
"QIPT","NASDAQ","stocks","XNAS","True","True"
"QNRX","NASDAQ","stocks","XNAS","True","True"
"QRHC","NASDAQ","stocks","XNAS","True","True"
"RAL","NYSE","stocks","XNYS","True","True"
"RBBN","NASDAQ","stocks","XNAS","True","True"
"RDGL","OTC","otc","OTC Link","True","True"
"RDW","NYSE","stocks","XNYS","True","True"
"REI","AMEX","stocks","XASE","True","True"
"RHEP","OTC","otc","OTC Link","True","True"
"RKDA","NASDAQ","stocks","XNAS","True","True"
"RLMD","NASDAQ","stocks","XNAS","True","True"
"RNGE","OTC","otc","OTC Link","True","True"
"RNXT","NASDAQ","stocks","XNAS","True","True"
"ROLR","AMEX","stocks","XASE","True","True"
"RXO","NYSE","stocks","XNYS","True","True"
"RYES","OTC","otc","OTC Link","True","True"
"RZLT","NASDAQ","stocks","XNAS","True","True"
"SAVA","NASDAQ","stocks","XNAS","True","True"
"SCWO","NASDAQ","stocks","XNAS","True","True"
"SEI","NYSE","stocks","XNYS","True","True"
"SEPN","NASDAQ","stocks","XNAS","True","True"
"SERV","NASDAQ","stocks","XNAS","True","True"
"SI","NYSE","stocks","XNYS","True","True"
"SILO","NASDAQ","stocks","XNAS","True","True"
"SINT","NASDAQ","stocks","XNAS","True","True"
"SLNH","NASDAQ","stocks","XNAS","True","True"
"SLRX","non tradable","","","","False"
"SMMT","NASDAQ","stocks","XNAS","True","True"
"SNGX","NASDAQ","stocks","XNAS","True","True"
"SNRG","OTC","otc","OTC Link","True","True"
"SPGC","non tradable","","","","False"
"SRTS","NASDAQ","stocks","XNAS","True","True"
"SSGC","OTC","otc","OTC Link","True","True"
"SSII","NASDAQ","stocks","XNAS","True","True"
"STCB","OTC","otc","OTC Link","True","True"
"STKS","NASDAQ","stocks","XNAS","True","True"
"STSS","NASDAQ","stocks","XNAS","True","True"
"SVCO","NASDAQ","stocks","XNAS","True","True"
"SVV","NYSE","stocks","XNYS","True","True"
"TALK","NASDAQ","stocks","XNAS","True","True"
"TBI","NYSE","stocks","XNYS","True","True"
"TBLA","NASDAQ","stocks","XNAS","True","True"
"TECX","NASDAQ","stocks","XNAS","True","True"
"THAR","non tradable","","","","False"
"TLPH","NASDAQ","stocks","XNAS","True","True"
"TLRY","NASDAQ","stocks","XNAS","True","True"
"TNDM","NASDAQ","stocks","XNAS","True","True"
"TNON","NASDAQ","stocks","XNAS","True","True"
"TOI","NASDAQ","stocks","XNAS","True","True"
"TWNP","non tradable","","","","False"
"TXMD","NASDAQ","stocks","XNAS","True","True"
"TZUP","non tradable","","","","False"
"UCTT","NASDAQ","stocks","XNAS","True","True"
"URG","AMEX","stocks","XASE","True","True"
"USEG","NASDAQ","stocks","XNAS","True","True"
"VEEE","NASDAQ","stocks","XNAS","True","True"
"VENU","AMEX","stocks","XASE","True","True"
"VFF","NASDAQ","stocks","XNAS","True","True"
"VHAI","OTC","otc","OTC Link","True","True"
"VMEO","non tradable","","","","False"
"VNRX","AMEX","stocks","XASE","True","True"
"VRME","NASDAQ","stocks","XNAS","True","True"
"VRTX","NASDAQ","stocks","XNAS","True","True"
"VSTS","NYSE","stocks","XNYS","True","True"
"WATT","NASDAQ","stocks","XNAS","True","True"
"WWW","NYSE","stocks","XNYS","True","True"
"WYY","AMEX","stocks","XASE","True","True"
"XELB","NASDAQ","stocks","XNAS","True","True"
"XFOR","NASDAQ","stocks","XNAS","True","True"
"XOMA","NASDAQ","stocks","XNAS","True","True"
"XRX","NASDAQ","stocks","XNAS","True","True"
"ZBIO","NASDAQ","stocks","XNAS","True","True"
"ZIVO","OTC","otc","OTC Link","True","True"
"ZNTL","NASDAQ","stocks","XNAS","True","True"
"ZOMDF","OTC","otc","OTC Link","True","True"
"ZONE","AMEX","stocks","XASE","True","True"
