signal,threshold_pct,val_n_trades,val_n_flagged,val_flag_rate_pct,val_loser_precision_pct,val_loser_recall_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_total_pnl_eur,val_strategy_total_pnl_eur,val_delta_total_pnl_eur,test_n_trades,test_n_flagged,test_flag_rate_pct,test_loser_precision_pct,test_loser_recall_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_total_pnl_eur,test_strategy_total_pnl_eur,test_delta_total_pnl_eur
ret_15m_pct,-0.5,359,122,33.98328690807799,52.459016393442624,52.459016393442624,4.171425849582172,2.873910147427271,-1.297515702154901,636739.6148517105,419617.39030421374,-217122.22454749676,363,139,38.29201101928375,57.55395683453237,50.63291139240506,2.4412493994490356,1.5330030545446476,-0.908246344904388,84668.92230684886,57091.374389943674,-27577.54791690519
ret_30m_pct,-0.5,332,121,36.44578313253012,52.066115702479344,57.27272727272727,4.103480999999999,2.62787158037614,-1.4756094196238587,587120.6258365413,403230.5770631829,-183890.0487733584,345,140,40.57971014492754,61.42857142857143,55.483870967741936,2.2294743188405794,1.3795414565893156,-0.8499328622512639,73605.10469736045,47455.789656623056,-26149.315040737398
ret_same_day_close_pct,-0.5,435,158,36.321839080459775,53.16455696202531,60.0,4.678124873563218,2.731931314380472,-1.9461935591827455,819289.0888209378,401896.6246237911,-417392.4641971467,406,160,39.40886699507389,65.625,60.0,2.3736035073891624,1.2734310279703762,-1.1001724794187862,90604.41171131906,43497.188854051725,-47107.222857267334
ret_next_day_open_pct,-2.0,380,85,22.36842105263158,61.1764705882353,40.310077519379846,4.178694652631578,2.517056425632624,-1.6616382269989542,597297.4888262043,399230.6057288038,-198066.88309740054,371,105,28.30188679245283,79.04761904761905,50.920245398773,2.421284981132075,1.6474830443863635,-0.7738019367457116,84791.68541145808,47506.494624501676,-37285.1907869564
ret_30m_pct,-1.0,332,101,30.42168674698795,50.495049504950494,46.36363636363636,4.103480999999999,2.74859493410311,-1.3548860658968884,587120.6258365413,396309.47368102963,-190811.15215551166,345,119,34.492753623188406,64.70588235294117,49.67741935483871,2.2294743188405794,1.5076704625407742,-0.7218038562998053,73605.10469736045,51685.4060357324,-21919.698661628056
ret_next_day_open_pct,-5.0,380,55,14.473684210526317,61.81818181818181,26.356589147286826,4.178694652631578,2.663925064880034,-1.5147695877515441,597297.4888262043,395779.7122362546,-201517.77658994973,371,55,14.824797843665769,76.36363636363637,25.766871165644172,2.421284981132075,1.768699157875983,-0.6525858232560922,84791.68541145808,49693.227471597966,-35098.45793986011
ret_60m_pct,-5.0,302,28,9.271523178807946,53.57142857142857,15.151515151515152,4.010465284768212,3.175421477988279,-0.8350438067799328,518714.382112529,394031.1947995932,-124683.18731293583,316,31,9.81012658227848,67.74193548387096,14.482758620689657,2.1585048987341766,1.6354437474890238,-0.5230611512451528,60809.42854700574,52200.95599845144,-8608.472548554295
ret_next_day_open_pct,-3.0,380,66,17.36842105263158,63.63636363636363,32.55813953488372,4.178694652631578,2.627329923112785,-1.5513647295187933,597297.4888262043,393468.0430635733,-203829.44576263102,371,90,24.258760107816713,77.77777777777779,42.944785276073624,2.421284981132075,1.7151266038403794,-0.7061583772916957,84791.68541145808,47356.384664875564,-37435.300746582514
ret_next_day_open_pct,-1.0,380,105,27.631578947368425,61.904761904761905,50.3875968992248,4.178694652631578,2.488715637248069,-1.6899790153835093,597297.4888262043,391882.13526509004,-205415.3535611143,371,124,33.42318059299191,76.61290322580645,58.282208588957054,2.421284981132075,1.540215991063266,-0.8810689900688091,84791.68541145808,47168.636051548776,-37623.0493599093
ret_60m_pct,-3.0,302,46,15.2317880794702,56.52173913043478,26.262626262626267,4.010465284768212,3.0750514417288923,-0.9354138430393193,518714.382112529,388680.088157771,-130034.29395475803,316,71,22.468354430379748,69.01408450704226,33.793103448275865,2.1585048987341766,1.4846272151057196,-0.673877683628457,60809.42854700574,42618.571435637656,-18190.85711136808
ret_same_day_close_pct,-1.0,435,142,32.64367816091954,50.70422535211267,51.42857142857142,4.678124873563218,2.6510085472585914,-2.0271163263046263,819289.0888209378,387602.39528170205,-431686.69353923574,406,144,35.467980295566505,65.97222222222221,54.285714285714285,2.3736035073891624,1.2720858127322603,-1.101517694656902,90604.41171131906,43868.06610481268,-46736.34560650638
ret_next_day_open_pct,-0.5,380,116,30.526315789473685,57.758620689655174,51.93798449612403,4.178694652631578,2.4109990350743438,-1.7676956175572345,597297.4888262043,387546.19039812224,-209751.29842808208,371,139,37.46630727762803,75.53956834532374,64.41717791411043,2.421284981132075,1.5256176786292794,-0.8956673025027957,84791.68541145808,46803.38440895428,-37988.301002503795
