split,ticker,buy_datetime,ret_1d_pct,entry_price,entry_bar_time,ret_15m_pct,checkpoint_15m_dt,ret_30m_pct,checkpoint_30m_dt,ret_60m_pct,checkpoint_60m_dt,ret_120m_pct,checkpoint_120m_dt,ret_same_day_close_pct,same_day_close_dt,selected_signal,selected_threshold_pct,flagged,strategy_ret_pct,improvement_pct
val,TLYS,2024-06-25 09:45:00,-1.4085,4.97,2024-06-25 09:49:00,0.3018108651911655,2024-06-25 11:18:00,0.8048289738430636,2024-06-25 13:34:00,0.6036217303823088,2024-06-25 15:23:00,,,-0.4024144869215207,2024-06-25 15:59:00,none,,False,-1.4085,0.0
val,PDYN,2024-06-25 09:45:00,-2.4845,1.61,2024-06-25 09:58:00,-2.4844720496894457,2024-06-25 11:29:00,-0.3354037267080834,2024-06-25 15:08:00,,,,,1.8633540372670732,2024-06-25 15:59:00,none,,False,-2.4845,0.0
val,BCDA,2024-06-24 09:45:00,-5.4869,3.1001,2024-06-24 09:45:00,-6.777200735460143,2024-06-24 12:07:00,-8.06748169413889,2024-06-24 12:39:00,-9.67710719009064,2024-06-24 15:11:00,,,-10.002903132157027,2024-06-24 15:59:00,none,,False,-5.4869,0.0
val,RVP,2024-06-25 11:43:28,1.8519,1.07,2024-06-25 11:50:00,-0.9813084112149539,2024-06-25 14:00:00,1.4018691588784993,2024-06-25 15:44:00,,,,,1.4018691588784993,2024-06-25 15:59:00,none,,False,1.8519,0.0
val,CTRN,2024-06-26 09:45:00,-0.3211,21.09,2024-06-26 09:46:00,1.137980085348489,2024-06-26 10:20:00,2.892366050260775,2024-06-26 11:00:00,2.4656235182551,2024-06-26 12:13:00,2.370791844476061,2024-06-26 14:29:00,3.3665244191559918,2024-06-26 15:59:00,none,,False,-0.3211,0.0
val,PBF,2024-06-26 09:45:00,-0.3755,45.41,2024-06-26 09:45:00,-0.7597445496586586,2024-06-26 10:00:00,-1.2992732878220559,2024-06-26 10:15:00,-2.5104602510460094,2024-06-26 10:47:00,-1.7617264919621123,2024-06-26 11:48:00,-0.28628055494382965,2024-06-26 15:59:00,none,,False,-0.3755,0.0
val,GAME,2024-06-26 09:45:00,12.7451,1.02,2024-06-26 09:55:00,0.9803921568627416,2024-06-26 11:15:00,0.0,2024-06-26 13:49:00,,,,,4.90196078431373,2024-06-26 15:59:00,none,,False,12.7451,0.0
val,BEN,2024-06-24 13:03:19,-1.3811,23.225,2024-06-24 13:04:00,-0.17222820236815206,2024-06-24 13:19:00,-0.27987082884822767,2024-06-24 13:34:00,-0.27987082884822767,2024-06-24 14:04:00,0.21528525296015122,2024-06-24 15:04:00,-0.2368137782561841,2024-06-24 15:59:00,none,,False,-1.3811,0.0
val,NXDT,2024-06-25 09:45:00,0.3922,5.01,2024-06-25 09:48:00,1.39720558882237,2024-06-25 10:22:00,0.40119760479042643,2024-06-25 10:54:00,0.9980039920159722,2024-06-25 11:35:00,1.7964071856287456,2024-06-25 13:23:00,1.7964071856287456,2024-06-25 15:59:00,none,,False,0.3922,0.0
val,UBCP,2024-06-25 09:45:00,-1.3636,13.2,2024-06-25 09:45:00,,,,,,,,,-1.8181818181818077,2024-06-25 14:40:00,none,,False,-1.3636,0.0
