ticker,trade_day,bar_count,status
ANIP,2021-12-08,146,fetched
ANIP,2021-12-10,177,fetched
ANIP,2021-12-23,139,fetched
ANIX,2021-04-20,259,fetched
ANIX,2021-04-23,227,fetched
ANIX,2021-07-15,245,fetched
ANIX,2021-07-16,177,fetched
ANIX,2021-07-28,276,fetched
ANIX,2022-01-10,156,fetched
ANIX,2022-01-11,104,fetched
ANIX,2022-01-12,81,fetched
ANIX,2022-01-13,101,fetched
ANIX,2022-04-27,37,fetched
ANNX,2022-07-12,269,fetched
ANNX,2023-02-15,322,fetched
ANNX,2023-05-31,339,fetched
ANNX,2023-12-29,301,fetched
ANTX,2022-04-01,135,fetched
ANTX,2022-06-16,125,fetched
ANTX,2022-06-24,88,fetched
ANTX,2022-07-29,26,fetched
ANTX,2022-08-08,79,fetched
ANTX,2023-08-23,104,fetched
ANVS,2021-08-23,276,fetched
AOMR,2021-06-25,121,fetched
AOMR,2021-09-02,127,fetched
AOMR,2021-09-22,136,fetched
AOMR,2022-03-31,49,fetched
AOMR,2022-04-04,64,fetched
AOMR,2022-05-23,121,fetched
AOMR,2022-05-25,86,fetched
AOMR,2022-12-01,134,fetched
AOMR,2022-12-06,138,fetched
AON,2021-08-09,392,fetched
AON,2021-11-25,0,fetched
AON,2022-05-10,382,fetched
AON,2022-08-26,362,fetched
AON,2023-08-25,343,fetched
AOS,2022-02-23,393,fetched
AOS,2023-03-09,384,fetched
AOUT,2022-03-16,242,fetched
AOUT,2022-09-19,162,fetched
AOUT,2022-09-22,142,fetched
AOUT,2022-09-26,144,fetched
AP,2022-11-24,0,fetched
AP,2023-04-07,0,fetched
AP,2023-05-24,37,fetched
AP,2023-06-26,17,fetched
AP,2023-07-03,16,fetched
APA,2021-03-12,479,fetched
APA,2022-03-01,482,fetched
APAM,2021-12-16,331,fetched
APD,2021-11-09,356,fetched
APD,2021-11-23,354,fetched
APG,2022-06-23,378,fetched
APG,2022-09-13,364,fetched
APG,2022-09-16,376,fetched
APG,2022-09-20,356,fetched
APGE,2023-07-18,239,fetched
APH,2023-11-09,396,fetched
APLD,2023-02-28,299,fetched
APLE,2021-03-18,394,fetched
APLE,2021-08-25,374,fetched
APLE,2022-03-17,381,fetched
APLE,2022-11-22,358,fetched
APLE,2023-03-17,398,fetched
APLE,2023-05-31,384,fetched
APLE,2023-06-05,383,fetched
APLS,2021-11-19,366,fetched
APO,2021-03-12,394,fetched
APO,2021-05-13,395,fetched
APO,2021-05-26,388,fetched
APO,2021-05-27,391,fetched
APO,2021-09-10,370,fetched
APO,2021-12-09,393,fetched
APO,2021-12-10,394,fetched
APO,2022-02-18,399,fetched
APO,2022-09-01,392,fetched
APO,2023-11-08,388,fetched
APP,2021-04-22,318,fetched
APPF,2021-10-25,76,fetched
APPN,2021-11-24,351,fetched
APPN,2021-12-07,353,fetched
APPN,2022-01-27,349,fetched
APPN,2022-02-04,334,fetched
APPN,2022-02-28,338,fetched
APPN,2022-03-04,329,fetched
APPN,2022-03-10,291,fetched
APPN,2022-03-15,323,fetched
APPN,2022-03-18,348,fetched
APPN,2022-03-23,314,fetched
APPN,2022-04-12,332,fetched
APPN,2022-05-05,367,fetched
APPN,2022-05-10,452,fetched
APPN,2022-05-13,359,fetched
APPN,2022-05-20,382,fetched
APPN,2022-05-25,366,fetched
APPN,2022-06-01,369,fetched
APPN,2022-06-06,337,fetched
APPN,2022-06-24,328,fetched
APPN,2022-11-04,387,fetched
APPN,2022-11-15,312,fetched
APPN,2022-11-18,286,fetched
APPN,2023-01-16,0,fetched
APPN,2023-01-20,336,fetched
APPN,2023-01-25,339,fetched
APPN,2023-01-30,265,fetched
APPN,2023-02-02,350,fetched
APPN,2023-02-09,307,fetched
APPN,2023-02-14,312,fetched
APPN,2023-02-22,295,fetched
APPN,2023-04-06,249,fetched
APPS,2021-08-19,559,fetched
APPS,2021-08-20,464,fetched
APPS,2021-11-25,0,fetched
APPS,2022-03-08,449,fetched
APPS,2022-03-15,451,fetched
APPS,2023-03-14,435,fetched
APPS,2023-03-15,425,fetched
APPS,2023-03-21,430,fetched
APPS,2023-05-31,426,fetched
APPS,2023-06-01,418,fetched
APPS,2023-09-15,442,fetched
APPS,2023-09-19,388,fetched
APRE,2023-06-09,15,fetched
AQB,2022-06-14,283,fetched
AQB,2022-12-07,147,fetched
AQB,2022-12-21,189,fetched
AQB,2022-12-22,279,fetched
AQB,2022-12-28,208,fetched
AQMS,2022-12-19,101,fetched
AQMS,2022-12-29,345,fetched
AQMS,2022-12-30,405,fetched
AQMS,2023-01-02,0,fetched
AQMS,2023-01-04,217,fetched
AQMS,2023-07-21,287,fetched
AQMS,2023-11-20,248,fetched
ARAY,2021-08-17,220,fetched
ARAY,2021-11-10,364,fetched
ARCB,2022-02-09,237,fetched
ARCT,2022-12-20,295,fetched
ARDC,2021-09-20,128,fetched
ARDX,2022-11-18,894,fetched
AREC,2021-12-17,293,fetched
AREN,2022-02-16,74,fetched
AREN,2022-02-21,0,fetched
AREN,2022-02-24,35,fetched
AREN,2022-03-01,32,fetched
AREN,2022-03-04,76,fetched
AREN,2022-05-11,142,fetched
AREN,2023-04-07,0,fetched
AREN,2023-04-13,71,fetched
AREN,2023-05-17,43,fetched
AREN,2023-05-22,74,fetched
AREN,2023-05-25,36,fetched
AREN,2023-06-01,48,fetched
AREN,2023-06-21,50,fetched
AREN,2023-06-26,147,fetched
ARES,2021-06-17,352,fetched
ARES,2023-05-17,336,fetched
ARES,2023-08-18,359,fetched
ARHS,2022-05-19,330,fetched
ARHS,2022-05-25,299,fetched
ARHS,2022-09-07,297,fetched
ARHS,2022-09-16,297,fetched
ARHS,2023-03-20,352,fetched
ARI,2023-05-11,359,fetched
ARIS,2022-03-21,219,fetched
ARIS,2023-12-14,260,fetched
ARKR,2022-06-15,21,fetched
ARKR,2022-06-29,9,fetched
ARKR,2022-07-12,7,fetched
ARKR,2022-12-23,19,fetched
ARL,2023-04-21,5,fetched
ARL,2023-04-27,4,fetched
ARL,2023-05-05,12,fetched
ARL,2023-05-15,11,fetched
ARL,2023-05-18,4,fetched
ARL,2023-05-22,8,fetched
ARL,2023-05-24,15,fetched
ARL,2023-05-26,7,fetched
ARL,2023-06-09,13,fetched
ARL,2023-06-14,19,fetched
ARLO,2021-03-17,390,fetched
ARLO,2021-04-19,342,fetched
ARLO,2021-05-18,346,fetched
ARLO,2021-06-17,366,fetched
ARLO,2021-07-19,380,fetched
ARLO,2021-08-18,273,fetched
ARLO,2021-09-17,346,fetched
ARLO,2021-11-16,323,fetched
ARLO,2022-05-17,351,fetched
ARLO,2022-08-16,271,fetched
ARLO,2022-11-14,350,fetched
ARLO,2022-11-16,313,fetched
ARLO,2023-02-17,228,fetched
ARLO,2023-05-17,367,fetched
ARLO,2023-08-16,351,fetched
ARMP,2021-03-18,112,fetched
ARMP,2022-02-14,79,fetched
ARMP,2022-04-04,34,fetched
AROW,2022-05-06,34,fetched
AROW,2022-05-23,21,fetched
AROW,2023-03-13,137,fetched
AROW,2023-10-12,72,fetched
AROW,2023-10-30,92,fetched
AROW,2023-11-03,110,fetched
AROW,2023-11-06,78,fetched
ARQT,2023-10-27,382,fetched
ARR,2021-03-22,362,fetched
ARRY,2021-08-26,412,fetched
ARRY,2022-08-30,417,fetched
ARTW,2022-04-29,58,fetched
ARTW,2022-05-05,63,fetched
ARTW,2022-05-11,45,fetched
ARTW,2022-05-16,135,fetched
ARTW,2022-07-12,38,fetched
ARTW,2022-08-03,75,fetched
ARWR,2021-12-30,291,fetched
ASA,2022-09-28,161,fetched
ASA,2024-01-03,102,fetched
ASAN,2021-03-17,387,fetched
ASB,2021-04-29,386,fetched
ASB,2021-10-28,372,fetched
ASB,2022-08-05,383,fetched
ASB,2023-04-26,385,fetched
ASIX,2022-02-28,287,fetched
ASLE,2023-08-15,282,fetched
ASMB,2023-11-23,0,fetched
ASMB,2024-01-19,177,fetched
ASO,2022-01-13,409,fetched
ASO,2022-04-18,392,fetched
ASPI,2023-04-11,49,fetched
ASPI,2023-05-22,162,fetched
ASPI,2023-07-03,74,fetched
ASPI,2023-10-31,72,fetched
ASPN,2022-03-24,342,fetched
ASPN,2022-03-31,267,fetched
ASPN,2022-12-08,344,fetched
ASPN,2023-08-23,345,fetched
ASPN,2023-09-07,289,fetched
ASPN,2023-09-08,298,fetched
ASPS,2022-03-18,84,fetched
ASPU,2021-09-27,241,fetched
ASPU,2021-09-28,197,fetched
ASPU,2021-09-30,181,fetched
ASPU,2021-10-04,149,fetched
ASPU,2021-10-06,102,fetched
ASPU,2021-10-08,90,fetched
