signal,threshold_pct,val_n_trades,val_n_flagged,val_flag_rate_pct,val_loser_precision_pct,val_loser_recall_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,test_n_trades,test_n_flagged,test_flag_rate_pct,test_loser_precision_pct,test_loser_recall_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct
ret_15m_pct,-0.5,4918,1425,28.975193167954455,56.35087719298245,33.22300372362433,0.34572815697437975,-0.0629890179936709,-0.40871717496805066,5273,1513,28.6933434477527,51.48711169861203,31.8348998774009,0.5126342393324483,0.025190666823041243,-0.4874435725094071
ret_120m_pct,-3.0,2844,269,9.458509142053446,64.68401486988847,12.26215644820296,0.2556548059071729,-0.08246032270612534,-0.33811512861329823,3366,332,9.863339275103982,61.74698795180723,12.933753943217665,0.545291918003565,0.10988761673156693,-0.4354043012719981
ret_30m_pct,-1.0,4385,966,22.02964652223489,57.2463768115942,25.649350649350648,0.3544249039908779,-0.135385007270426,-0.4898099112613039,4868,1036,21.281840591618735,56.08108108108109,25.639894086496028,0.5122605513557928,0.07379216634361137,-0.4384683850121815
ret_60m_pct,-2.0,3653,515,14.098001642485627,59.02912621359223,16.823464305478694,0.31841005529701605,-0.1436867842096113,-0.4620968395066274,4193,546,13.02170283806344,59.70695970695971,16.43973777105396,0.49792138802766517,0.1241249222724841,-0.37379646575518105
ret_same_day_close_pct,-3.0,6060,701,11.567656765676567,62.339514978602,14.858891533492011,0.37267034389438936,-0.16814133223158367,-0.540811676125973,6097,663,10.874200426439232,62.29260935143288,14.723707664884136,0.49745696703296705,0.016709090512769115,-0.4807478765201979
ret_120m_pct,-2.0,2844,440,15.471167369901547,63.63636363636363,19.732205778717407,0.2556548059071729,-0.19525809231590618,-0.45091289822307906,3366,530,15.745692216280451,60.94339622641509,20.378548895899055,0.545291918003565,0.022857709414352834,-0.5224342085892122
ret_30m_pct,-0.5,4385,1436,32.74800456100342,54.80501392757661,36.50278293135436,0.3544249039908779,-0.24467260809273347,-0.5990975120836114,4868,1543,31.696795398520955,52.68956578094621,35.878199470432484,0.5122605513557928,-0.04131137390386419,-0.553571925259657
ret_same_day_close_pct,-2.0,6060,1045,17.244224422442244,61.72248803827751,21.931315878952738,0.37267034389438936,-0.27840073852720737,-0.6510710824215967,6097,977,16.02427423322946,60.08188331627431,20.926916221033867,0.49745696703296705,-0.07087954270333419,-0.5683365097363012
ret_60m_pct,-1.0,3653,957,26.197645770599507,57.05329153605015,30.215827338129497,0.31841005529701605,-0.2993019377656462,-0.6177119930626622,4193,1026,24.469353684712615,56.82261208576998,29.39989914271306,0.49792138802766517,-0.051965979741420816,-0.549887367769086
ret_120m_pct,-1.0,2844,794,27.918424753867793,61.20906801007556,34.24947145877378,0.2556548059071729,-0.3041732939765024,-0.5598280998836753,3366,916,27.213309566250743,58.29694323144105,33.69085173501578,0.545291918003565,-0.13701515794495356,-0.6823070759485186
ret_120m_pct,-0.5,2844,1066,37.48241912798875,61.72607879924953,46.37068357998591,0.2556548059071729,-0.32699193880938954,-0.5826467447165624,3366,1214,36.066547831253715,57.084019769357496,43.722397476340696,0.545291918003565,-0.21126513664003038,-0.7565570546435954
ret_60m_pct,-0.5,3653,1311,35.88831097727895,56.06407322654462,40.67515218594355,0.31841005529701605,-0.3585137077494144,-0.6769237630464304,4193,1472,35.106129263057475,55.97826086956522,41.553202218860314,0.49792138802766517,-0.1257617516811195,-0.6236831397087846
