strategy,min_decile_score,min_alloc_fraction,max_alloc_fraction,w_score,w_price_edge,w_risk_quality,w_range_risk,w_sd_risk,w_vol_risk,w_mom_risk,raw_pred_mean4_cutoff,n_trades,return_pct,max_drawdown_pct,win_rate_pct,mean_trade_ret_pct,std_trade_ret_pct,sharpe_trade,sortino_trade,cvar5_trade_ret_pct,objective_val,avg_alloc_fraction,p95_alloc_fraction,max_alloc_fraction_realized,avg_sizing_signal
cfg_080,0.9,0.08,0.4,0.65,0.2,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,554,3244.990112624828,-7.25361562103557,61.371841155234655,3.540093898916967,8.649423645114837,0.4092866813058,0.9983069715203127,-11.510014285714286,3241.36330481431,0.2313112665469093,0.3513510993624676,0.36010105523240854,0.4728477079590915
cfg_168,0.9,0.08,0.4,0.7,0.15,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,558,3229.4836597455123,-7.296447584819765,60.752688172043015,3.510107734767024,8.652314875549683,0.40568423424881733,0.9901358370657187,-11.510014285714286,3225.8354359531027,0.22698263963676674,0.3493126967508273,0.3578580115666393,0.4593207488648961
cfg_083,0.9,0.05,0.35,0.65,0.2,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,578,3221.042573025961,-7.043170188769421,60.726643598615915,3.5482238961937713,8.663622026474032,0.4095543278955634,0.9755022764821711,-11.741837931034482,3217.520987931576,0.18941037736780136,0.30355054663437486,0.3152627354909652,0.4647012578926712
cfg_154,0.9,0.05,0.3,0.7,0.15,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,614,3209.667177318812,-7.406369074142038,60.26058631921825,3.4796211661237777,8.703743094359385,0.3997844523213016,0.9431557758074952,-11.939696774193546,3205.9639927817407,0.16208130984085095,0.2610423519720194,0.2704667542759639,0.44832523936340385
cfg_054,0.9,0.08,0.3,0.55,0.25,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,591,3207.3518861162775,-7.155055101217311,60.913705583756354,3.5410492453468696,8.679164965571943,0.40799423209413793,0.9739658154822177,-11.742790000000001,3203.774358565669,0.18143430091838608,0.2563008837226046,0.26535329813200215,0.4610650041744822
cfg_147,0.9,0.05,0.35,0.7,0.15,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,584,3204.849891330346,-7.028575633676592,60.445205479452056,3.572521239726027,8.703783698468316,0.41045611466134163,0.9899959105101422,-11.631566666666664,3201.335603513508,0.18605057367811478,0.3039625532316152,0.31253870841516324,0.45350191226038267
cfg_084,0.9,0.05,0.4,0.65,0.2,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,564,3180.167552328588,-6.975084770081708,60.46099290780141,3.5213743191489355,8.650417559457676,0.407075646342522,0.975714880969644,-11.572886206896552,3176.6800099435472,0.21472222639097444,0.3462371885191047,0.3594731914061261,0.47063493254564126
cfg_055,0.9,0.08,0.35,0.55,0.25,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,569,3174.2671964238234,-7.070445388397406,61.511423550087876,3.5922031845342697,8.676040388263404,0.41403716716137656,1.0010967526481773,-11.572886206896552,3170.7319737296248,0.20592004390376958,0.2964431196641995,0.3074790477074572,0.4663705329769244
cfg_163,0.9,0.05,0.35,0.7,0.15,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,586,3172.8228284899833,-7.018018051265173,60.40955631399317,3.6095488054607507,8.730206734576134,0.41345513516479176,1.0002567700526688,-11.631566666666664,3169.3138194643507,0.18561951112833666,0.3024150070347179,0.31049188584372434,0.4520650370944556
cfg_040,0.9,0.08,0.4,0.6,0.2,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,553,3172.075990842275,-7.1900993459862335,61.12115732368897,3.585419920433996,8.693165747498146,0.41244122389658383,1.0091149886707493,-11.510014285714286,3168.4809411692822,0.22649938680528436,0.3356390577770724,0.35459307652295013,0.4578105837665136
cfg_075,0.9,0.05,0.35,0.65,0.2,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,577,3170.1510618607235,-7.042992281497895,60.65857885615251,3.5407719445407273,8.66440757157665,0.4086571315223134,0.9769650949056045,-11.741837931034482,3166.6295657199744,0.18965074484012082,0.3042384033881584,0.31259473928038295,0.46550248280040263
cfg_096,0.9,0.08,0.4,0.65,0.2,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,554,3167.777164663706,-7.24354950696362,61.01083032490975,3.520953285198556,8.651718705398302,0.4069657608032993,0.9927863621702265,-11.510014285714286,3164.155389910224,0.23045097931050232,0.34994230224470857,0.3579074273282083,0.47015931034531977
cfg_030,0.9,0.08,0.3,0.6,0.2,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,590,3152.853191208865,-7.218877533673229,60.67796610169491,3.531450006779661,8.690768155796416,0.4063449793473453,0.9733095369894247,-11.742790000000001,3149.2437524420284,0.1792006463162838,0.25600831106983885,0.2648380358681426,0.450912028710381
cfg_148,0.9,0.05,0.4,0.7,0.15,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,569,3139.854616175099,-6.891033767344945,60.105448154657296,3.504591050966608,8.710929410356854,0.402321140015189,0.9656140769909861,-11.741837931034482,3136.4090992914266,0.210510615144182,0.3463318732628559,0.3562951598176905,0.4586017575548057
cfg_082,0.9,0.05,0.3,0.65,0.2,0.15,0.25,0.2,0.4,0.15,0.7129917140924689,610,3129.6531143558796,-7.338098563552808,60.49180327868853,3.514393278688524,8.669112356955209,0.4053925170169163,0.9598572974071831,-11.794096774193546,3125.984065074103,0.16448968849387197,0.2609876466207565,0.27105227957580436,0.45795875397548785
cfg_146,0.9,0.05,0.3,0.7,0.15,0.15,0.3,0.2,0.3,0.2,0.7129917140924689,614,3128.2412329478825,-7.4167766418494985,60.26058631921825,3.4860338697068394,8.697446172529325,0.40081120372062706,0.9464421871058433,-11.939696774193546,3124.5328446269577,0.16196359829755627,0.2616141262146126,0.2687822570126361,0.4478543931902252
