strategy,pred_threshold,vol_q,lr_q,val_objective,test_objective,test_return_pct,test_max_dd_pct,test_sortino,test_n_trades
lossrate_cap,0.75,,0.7,2058.4753812929016,539.0545739635205,545.8937519232107,-13.678355919380481,0.5111148106820139,421
lossrate_cap,0.75,,0.8,2706.047549145754,659.466825386292,664.5155368655778,-10.097422958571567,0.5427049381118056,441
lossrate_cap,0.75,,0.9,3476.5374161790683,781.3824562731664,786.8853795933227,-11.005846640312445,0.6199866795450674,452
baseline,0.8,,,5270.565458542917,1081.8132624924262,1087.119930981316,-10.613336977779596,0.6758440325326066,457
vol_cap,0.8,0.7,,440.4043073936113,222.43045865729954,228.56446733985774,-12.268017365116412,0.5335750733578015,313
vol_and_lossrate_cap,0.8,0.7,0.7,259.60141132784236,159.0643955132974,168.47778938702453,-18.826787747454265,0.47386801601011846,263
vol_and_lossrate_cap,0.8,0.7,0.8,293.4114801205591,174.53717531695486,182.00634404770065,-14.938337461491557,0.44993160384531167,292
vol_and_lossrate_cap,0.8,0.7,0.9,377.65557673902237,208.58220381986527,215.70833103573216,-14.25225443173378,0.5087593400923782,303
vol_cap,0.8,0.8,,831.8880737784792,285.3977808382946,290.72287170966797,-10.650181742746746,0.5027365306572784,352
vol_and_lossrate_cap,0.8,0.8,0.7,413.4094033698642,179.91797763852108,188.6803404627432,-17.52472564844425,0.4451033304994906,295
vol_and_lossrate_cap,0.8,0.8,0.8,495.82348936391503,148.9888413079286,158.566987185595,-19.156291755332788,0.42886681553608347,328
vol_and_lossrate_cap,0.8,0.8,0.9,655.2930194534389,180.77731500454868,189.9375722884709,-18.320514567844416,0.47020450319393603,340
vol_cap,0.8,0.9,,1077.0978139677857,398.13340599950175,402.74893146838576,-9.231050937767993,0.556596834814952,378
vol_and_lossrate_cap,0.8,0.9,0.7,551.4859179746585,245.35126373248605,252.66153625028923,-14.62054503560638,0.47313483695722813,318
vol_and_lossrate_cap,0.8,0.9,0.8,686.781390575414,193.06618148079158,201.5468903660374,-16.961417770491593,0.43234667220553336,351
vol_and_lossrate_cap,0.8,0.9,0.9,862.9043451412759,288.2318622395435,295.5043692288828,-14.545013978678622,0.5069612640459227,362
lossrate_cap,0.8,,0.7,2481.048434480352,520.1441992646651,528.9530273975761,-17.6176562658219,0.5255653832363645,390
lossrate_cap,0.8,,0.8,3003.6729929307726,579.0566282655195,587.4603303764823,-16.807404221925427,0.5809708255973391,426
lossrate_cap,0.8,,0.9,3743.3976785587583,746.7086010066781,753.649431189457,-13.881660365557813,0.6472734485901861,433
baseline,0.85,,,7558.130944767801,919.2870575773167,925.482330936197,-12.390546717760575,0.7051256855384653,418
vol_cap,0.85,0.7,,664.7699394239804,239.68656148721317,246.34246166844343,-13.311800362460513,0.5283825187450667,296
