candidate,arm_gain_pct,trail_drawdown_pct,reentry_mode,val_n_trades,val_n_stopped,val_stop_rate_pct,val_n_reentered,val_reentry_rate_among_stopped_pct,val_baseline_mean_ret_pct,val_strategy_mean_ret_pct,val_delta_mean_ret_pct,val_baseline_win_rate_pct,val_strategy_win_rate_pct,val_delta_win_rate_pct,test_n_trades,test_n_stopped,test_stop_rate_pct,test_n_reentered,test_reentry_rate_among_stopped_pct,test_baseline_mean_ret_pct,test_strategy_mean_ret_pct,test_delta_mean_ret_pct,test_baseline_win_rate_pct,test_strategy_win_rate_pct,test_delta_win_rate_pct
trail_after_0.5_dd_1.5_reclaim_entry_else_close,0.5,1.5,reclaim_entry_else_close,416,311,74.75961538461539,311,100.0,1.7203530096153843,1.129570887354554,-0.5907821222608303,55.769230769230774,53.36538461538461,-2.4038461538461604,422,328,77.72511848341233,328,100.0,1.4021763981042652,1.0109238807001295,-0.3912525174041357,50.71090047393365,50.947867298578196,0.2369668246445471
trail_after_1_dd_2_reclaim_entry_else_close,1.0,2.0,reclaim_entry_else_close,416,261,62.74038461538461,261,100.0,1.7203530096153843,1.1154934240866679,-0.6048595855287164,55.769230769230774,52.40384615384615,-3.3653846153846203,422,291,68.95734597156398,291,100.0,1.4021763981042652,0.8995549093729489,-0.5026214887313163,50.71090047393365,49.5260663507109,-1.1848341232227497
trail_after_1_dd_1.5_reclaim_entry_else_close,1.0,1.5,reclaim_entry_else_close,416,274,65.86538461538461,274,100.0,1.7203530096153843,1.1152108607894715,-0.6051421488259128,55.769230769230774,53.125,-2.6442307692307736,422,305,72.27488151658767,305,100.0,1.4021763981042652,0.9757850198809105,-0.4263913782233547,50.71090047393365,50.71090047393365,0.0
trail_after_0.5_dd_0.5_reclaim_entry_else_out,0.5,0.5,reclaim_entry_else_out,416,333,80.04807692307693,317,95.1951951951952,1.7203530096153843,1.1084958343371099,-0.6118571752782744,55.769230769230774,52.16346153846154,-3.6057692307692335,422,345,81.75355450236967,320,92.7536231884058,1.4021763981042652,0.8443586017132438,-0.5578177963910214,50.71090047393365,47.39336492890995,-3.317535545023695
trail_after_2_dd_1.5_reclaim_entry_else_out,2.0,1.5,reclaim_entry_else_out,416,235,56.49038461538461,229,97.44680851063829,1.7203530096153843,1.1040305585001546,-0.6163224511152297,55.769230769230774,53.605769230769226,-2.163461538461547,422,235,55.687203791469194,220,93.61702127659575,1.4021763981042652,0.9085963910696239,-0.49358000703464133,50.71090047393365,50.0,-0.7109004739336484
trail_after_0.5_dd_2_reclaim_entry_else_close,0.5,2.0,reclaim_entry_else_close,416,297,71.39423076923077,297,100.0,1.7203530096153843,1.0907491218868448,-0.6296038877285395,55.769230769230774,52.40384615384615,-3.3653846153846203,422,313,74.17061611374407,313,100.0,1.4021763981042652,0.916984779935119,-0.48519161816914624,50.71090047393365,49.763033175355446,-0.9478672985782026
trail_after_2_dd_2_reclaim_entry_else_out,2.0,2.0,reclaim_entry_else_out,416,223,53.605769230769226,214,95.96412556053812,1.7203530096153843,1.089777770471797,-0.6305752391435873,55.769230769230774,52.644230769230774,-3.125,422,224,53.08056872037915,208,92.85714285714286,1.4021763981042652,0.8876376414609909,-0.5145387566432743,50.71090047393365,49.052132701421804,-1.658767772511844
trail_after_1_dd_1_reclaim_entry_else_out,1.0,1.0,reclaim_entry_else_out,416,285,68.50961538461539,278,97.54385964912281,1.7203530096153843,1.068965834766596,-0.6513871748487883,55.769230769230774,52.16346153846154,-3.6057692307692335,422,313,74.17061611374407,289,92.33226837060703,1.4021763981042652,0.7888827536912362,-0.613293644413029,50.71090047393365,48.34123222748815,-2.3696682464454994
trail_after_0.5_dd_1_reclaim_entry_else_out,0.5,1.0,reclaim_entry_else_out,416,322,77.40384615384616,297,92.2360248447205,1.7203530096153843,1.0015471292087166,-0.7188058804066677,55.769230769230774,50.72115384615385,-5.048076923076927,422,339,80.33175355450237,303,89.38053097345133,1.4021763981042652,0.7814858428479636,-0.6206905552563016,50.71090047393365,47.1563981042654,-3.554502369668249
trail_after_1_dd_1.5_reclaim_entry_else_out,1.0,1.5,reclaim_entry_else_out,416,274,65.86538461538461,258,94.16058394160584,1.7203530096153843,0.9930931989634961,-0.7272598106518882,55.769230769230774,51.442307692307686,-4.326923076923087,422,305,72.27488151658767,276,90.49180327868852,1.4021763981042652,0.6550042162922542,-0.747172181812011,50.71090047393365,47.1563981042654,-3.554502369668249
