"ticker","entry_time","exit_time","invested_eur","ret_pct","proceeds_eur","pnl_eur","market_category","market","primary_exchange","active","market_meta_found"
"OSUR","2025-02-28 09:45:00","2025-03-03 16:00:00","2650.24540504","3.0303","2730.55579154","80.31038651","NASDAQ","stocks","XNAS","True","True"
"USEG","2025-02-28 09:45:00","2025-03-03 16:00:00","2095.932249","-3.944","2013.2686811","-82.6635679","NASDAQ","stocks","XNAS","True","True"
"SEPN","2025-02-28 09:45:00","2025-03-03 16:00:00","2650.24540504","-1.1419","2619.98225276","-30.26315228","NASDAQ","stocks","XNAS","True","True"
"TALK","2025-03-03 09:45:00","2025-03-04 16:00:00","2710.25633858","-1.3746","2673.00115495","-37.25518363","NASDAQ","stocks","XNAS","True","True"
"AYTU","2025-03-03 13:50:04","2025-03-04 16:00:00","734.34595666","-1.2926","724.85380082","-9.49215584","NASDAQ","stocks","XNAS","True","True"
"TBLA","2025-03-04 09:45:00","2025-03-05 16:00:00","2702.10225516","6.6901","2882.87559813","180.77334297","NASDAQ","stocks","XNAS","True","True"
"AENT","2025-03-04 09:45:00","2025-03-05 16:00:00","2702.10225516","7.1556","2895.45388413","193.35162897","NASDAQ","stocks","XNAS","True","True"
"GTE","2025-03-04 09:45:00","2025-03-05 16:00:00","1959.60221508","9.4385","2144.55927015","184.95705507","AMEX","stocks","XASE","True","True"
"LIDR","2025-03-05 09:45:00","2025-03-06 16:00:00","2690.41542029","3.2226","2777.11674763","86.70132733","NASDAQ","stocks","XNAS","True","True"
"LBSR","2025-03-05 09:45:00","2025-03-06 16:00:00","707.43953548","20","848.92744257","141.4879071","OTC","otc","OTC Link","True","True"
"LBSR","2025-03-06 09:45:00","2025-03-07 16:00:00","2122.74639157","4.86","2225.9118662","103.16547463","OTC","otc","OTC Link","True","True"
"MKZR","2025-03-06 09:45:00","2025-03-07 16:00:00","2830.18592704","12.1053","3172.78842407","342.60249703","NASDAQ","stocks","XNAS","True","True"
"TALK","2025-03-06 09:45:00","2025-03-07 16:00:00","2830.18592704","4.7441","2964.45277761","134.26685056","NASDAQ","stocks","XNAS","True","True"
"AIM","2025-03-06 09:51:34","2025-03-07 16:00:00","139.77050675","6.9187","149.4408088","9.67030205","AMEX","stocks","XASE","True","True"
"EU","2025-03-07 09:45:00","2025-03-10 16:00:00","2887.23323565","-12.1581","2536.20053163","-351.03270402","NASDAQ","stocks","XNAS","True","True"
"AMRC","2025-03-07 09:45:00","2025-03-10 16:00:00","738.81095454","-1.4769","727.89945556","-10.91149899","NYSE","stocks","XNYS","True","True"
"SEI","2025-03-10 09:45:00","2025-03-11 16:00:00","2443.27484324","-3.3898","2360.45271261","-82.82213064","NYSE","stocks","XNYS","True","True"
"CTTH","2025-03-10 09:45:00","2025-03-11 16:00:00","3034.65951672","14","3459.51184906","424.85233234","OTC","otc","OTC Link","True","True"
"DRTTF","2025-03-10 09:45:00","2025-03-11 16:00:00","3034.65951672","8.6957","3298.54440432","263.8848876","OTC","otc","OTC Link","True","True"
"ETST","2025-03-11 09:45:00","2025-03-12 16:00:00","2944.17346597","-4.9286","2799.06693252","-145.10653344","OTC","otc","OTC Link","True","True"
"VRME","2025-03-11 09:45:00","2025-03-12 16:00:00","319.92652122","8.8622","348.27904938","28.35252816","NASDAQ","stocks","XNAS","True","True"
"MEI","2025-03-12 09:45:00","2025-03-13 16:00:00","3095.65223829","-7.2508","2871.1926858","-224.45955249","NYSE","stocks","XNYS","True","True"
"TNDM","2025-03-12 09:45:00","2025-03-13 16:00:00","3095.65223829","-1.0074","3064.46663764","-31.18560065","NASDAQ","stocks","XNAS","True","True"
"UCTT","2025-03-12 09:45:00","2025-03-13 16:00:00","2927.2044894","-1.1898","2892.37661038","-34.82787901","NASDAQ","stocks","XNAS","True","True"
"FNKO","2025-03-13 09:45:00","2025-03-14 16:00:00","3066.46373697","-8.512","2805.44634368","-261.01739329","NASDAQ","stocks","XNAS","True","True"
"NFE","2025-03-13 12:30:28","2025-03-14 16:00:00","80.88224493","11.6335","90.2916809","9.40943596","NASDAQ","stocks","XNAS","True","True"
"NXL","2025-03-14 09:45:00","2025-03-17 16:00:00","2993.84547893","14.4928","3427.7375165","433.89203757","NASDAQ","stocks","XNAS","True","True"
"ADV","2025-03-14 09:45:00","2025-03-17 16:00:00","2993.84547893","-6.5089","2798.97907055","-194.86640838","NASDAQ","stocks","XNAS","True","True"
"SERV","2025-03-14 09:45:00","2025-03-17 16:00:00","2840.34497596","4.1223","2957.4325169","117.08754094","NASDAQ","stocks","XNAS","True","True"
"CRBU","2025-03-17 09:45:00","2025-03-18 16:00:00","2895.73802458","-7.7379","2671.66871197","-224.0693126","NASDAQ","stocks","XNAS","True","True"
"OB","2025-03-18 09:45:00","2025-03-19 16:00:00","3019.97178214","-3.023","2928.67803516","-91.29374697","non tradable","","","","False"
"AFCG","2025-03-18 09:45:00","2025-03-19 16:00:00","124.23375756","-2.2981","121.37874157","-2.85501598","NASDAQ","stocks","XNAS","True","True"
"STKS","2025-03-18 09:45:00","2025-03-19 16:00:00","3019.97178214","1.8587","3076.10399765","56.13221551","NASDAQ","stocks","XNAS","True","True"
"RDW","2025-03-18 09:45:00","2025-03-19 16:00:00","3019.97178214","3.9126","3138.13119808","118.15941595","NYSE","stocks","XNYS","True","True"
"BTMD","2025-03-19 09:45:00","2025-03-20 16:00:00","2671.66871197","-0.9434","2646.46418935","-25.20452263","NASDAQ","stocks","XNAS","True","True"
"HFFG","2025-03-20 09:45:00","2025-03-21 16:00:00","2983.99017111","17","3491.2685002","507.27832909","NASDAQ","stocks","XNAS","True","True"
"QRHC","2025-03-20 09:45:00","2025-03-21 16:00:00","2983.99017111","-8.1433","2740.99489951","-242.9952716","NASDAQ","stocks","XNAS","True","True"
"ACHV","2025-03-20 09:45:00","2025-03-21 16:00:00","2983.99017111","-3.8692","2868.53362341","-115.4565477","NASDAQ","stocks","XNAS","True","True"
"EONR","2025-03-20 10:57:03","2025-03-21 16:00:00","312.32145914","17.2565","366.21721173","53.8957526","AMEX","stocks","XASE","True","True"
"BLNE","2025-03-21 09:45:00","2025-03-24 16:00:00","2646.46418935","-16.206275","2217.57092504","-428.8932643","NASDAQ","stocks","XNAS","True","True"
"NAUT","2025-03-24 09:45:00","2025-03-25 16:00:00","3028.36960605","-9.1501","2751.27075873","-277.09884732","NASDAQ","stocks","XNAS","True","True"
"ALZN","2025-03-24 09:45:00","2025-03-25 16:00:00","3028.36960605","1","3058.65330211","30.28369606","NASDAQ","stocks","XNAS","True","True"
"EU","2025-03-25 09:45:00","2025-03-26 16:00:00","2706.69965782","-9.3168","2454.5218641","-252.17779372","NASDAQ","stocks","XNAS","True","True"
"BLNE","2025-03-25 09:45:00","2025-03-26 16:00:00","2921.14628997","25.6261","3669.72215939","748.57586941","NASDAQ","stocks","XNAS","True","True"
"VNRX","2025-03-27 09:45:00","2025-03-28 16:00:00","2983.54202108","-1.2922","2944.98869108","-38.55333","AMEX","stocks","XASE","True","True"
"PRLD","2025-03-28 09:45:00","2025-03-31 16:00:00","2983.54202108","-2.4514","2910.40347198","-73.1385491","NASDAQ","stocks","XNAS","True","True"
"TOI","2025-03-31 09:45:00","2025-04-01 16:00:00","2973.90368858","2.439","3046.43719955","72.53351096","NASDAQ","stocks","XNAS","True","True"
"RZLT","2025-03-31 09:45:00","2025-04-01 16:00:00","2973.90368858","5.4152","3134.94652113","161.04283254","NASDAQ","stocks","XNAS","True","True"
"HITC","2025-03-31 09:45:00","2025-04-01 16:00:00","2964.26535608","4.1667","3087.77740067","123.51204459","non tradable","","","","False"
"GOVX","2025-04-01 09:45:00","2025-04-02 16:00:00","2910.40347198","11.3208","3239.88442823","329.48095626","NASDAQ","stocks","XNAS","True","True"
"ALUR","2025-04-02 09:45:00","2025-04-03 16:00:00","3044.89114833","-1.8868","2987.44014214","-57.45100619","NYSE","stocks","XNYS","True","True"
"CATX","2025-04-02 09:45:00","2025-04-03 16:00:00","3044.89114833","-5.314","2883.08563271","-161.80551562","AMEX","stocks","XASE","True","True"
"AFCG","2025-04-02 09:45:00","2025-04-03 16:00:00","3044.89114833","-4.0517","2921.52129367","-123.36985466","NASDAQ","stocks","XNAS","True","True"
"GOVX","2025-04-02 09:45:00","2025-04-03 16:00:00","134.48767635","-1.4425","132.54769162","-1.93998473","NASDAQ","stocks","XNAS","True","True"
"XOMA","2025-04-03 09:45:00","2025-04-04 16:00:00","3127.26138739","0.7776","3151.57897194","24.31758455","NASDAQ","stocks","XNAS","True","True"
"TLPH","2025-04-04 09:45:00","2025-04-07 16:00:00","3041.1197971","-1.9723","2981.13979134","-59.98000576","NASDAQ","stocks","XNAS","True","True"
"ADMQ","2025-04-04 09:45:00","2025-04-07 16:00:00","3041.1197971","16.6667","3547.97411032","506.85431322","OTC","otc","OTC Link","True","True"
"APRE","2025-04-04 09:45:00","2025-04-07 16:00:00","2954.9782068","-14.0494","2539.82149861","-415.15670819","NASDAQ","stocks","XNAS","True","True"
"PRPO","2025-04-07 09:45:00","2025-04-08 16:00:00","104.37977871","9.1837","113.96570445","9.58592574","NASDAQ","stocks","XNAS","True","True"
"BCDA","2025-04-07 09:45:00","2025-04-08 16:00:00","3047.19919323","5.7895","3223.61679052","176.41759729","NASDAQ","stocks","XNAS","True","True"
"EU","2025-04-08 09:45:00","2025-04-09 16:00:00","2950.74881434","0.8","2974.35480486","23.60599051","NASDAQ","stocks","XNAS","True","True"
"BCDA","2025-04-08 09:45:00","2025-04-09 16:00:00","7.92939982","1.5228","8.05014872","0.1207489","NASDAQ","stocks","XNAS","True","True"
"NWTG","2025-04-08 09:45:00","2025-04-09 16:00:00","3055.12859305","-16.206275","2560.00605166","-495.12254139","NASDAQ","stocks","XNAS","True","True"
"NMTC","2025-04-08 09:45:00","2025-04-09 16:00:00","3055.12859305","-6.5203","2855.9250434","-199.20354965","NASDAQ","stocks","XNAS","True","True"
"PEPG","2025-04-09 09:45:00","2025-04-10 16:00:00","3101.62947381","19.0234","3691.66485513","590.03538132","NASDAQ","stocks","XNAS","True","True"
"CNFR","2025-04-09 09:45:00","2025-04-10 16:00:00","235.95302116","11.9366","264.11778949","28.16476832","non tradable","","","","False"
"RNXT","2025-04-10 09:45:00","2025-04-11 16:00:00","2933.9796359","-8.1062","2696.14537866","-237.83425725","NASDAQ","stocks","XNAS","True","True"
"CTTH","2025-04-10 10:03:55","2025-04-11 16:00:00","2933.9796359","13.8596","3340.61747752","406.63784162","OTC","otc","OTC Link","True","True"
"GOVX","2025-04-11 09:45:00","2025-04-14 16:00:00","3088.52967331","7.5377","3321.3337745","232.80410119","NASDAQ","stocks","XNAS","True","True"
"RNXT","2025-04-11 09:45:00","2025-04-14 16:00:00","154.55003741","1.7831","157.30581913","2.75578172","NASDAQ","stocks","XNAS","True","True"
"TXMD","2025-04-11 09:45:00","2025-04-14 16:00:00","3088.52967331","17.8759","3640.63214919","552.10247587","NASDAQ","stocks","XNAS","True","True"
"HUMA","2025-04-14 09:45:00","2025-04-15 16:00:00","3130.73056941","3.7037","3246.68343751","115.9528681","NASDAQ","stocks","XNAS","True","True"
"DLTH","2025-04-15 09:45:00","2025-04-16 16:00:00","3327.6461591","-6.0773","3125.41511907","-202.23104003","NASDAQ","stocks","XNAS","True","True"
"TXMD","2025-04-15 09:45:00","2025-04-16 16:00:00","3327.6461591","-10","2994.88154319","-332.76461591","NASDAQ","stocks","XNAS","True","True"
"PEPG","2025-04-22 09:45:00","2025-04-23 16:00:00","3222.88546214","-7.9369","2967.0882659","-255.79719624","NASDAQ","stocks","XNAS","True","True"
"LCGMF","2025-04-22 09:45:00","2025-04-23 16:00:00","3222.88546214","4.0724","3354.1342497","131.24878756","OTC","otc","OTC Link","True","True"
"NEOG","2025-04-23 11:01:08","2025-04-24 16:00:00","3222.88546214","1.7613","3279.65014379","56.76468164","NASDAQ","stocks","XNAS","True","True"
"BLNE","2025-04-24 09:45:00","2025-04-25 16:00:00","3191.74835997","8.3333","3457.72632605","265.97796608","NASDAQ","stocks","XNAS","True","True"
"IRIX","2025-04-25 09:45:00","2025-04-28 16:00:00","3205.93953038","11.1111","3562.15467754","356.21514716","NASDAQ","stocks","XNAS","True","True"
"ABP","2025-04-28 09:45:00","2025-04-29 16:00:00","3272.4340219","1.6817","3327.46654485","55.03252295","non tradable","","","","False"
"BCDA","2025-04-28 09:45:00","2025-04-29 16:00:00","3272.4340219","25.6261","4111.03123679","838.59721489","NASDAQ","stocks","XNAS","True","True"
"BLNE","2025-04-28 09:45:00","2025-04-29 16:00:00","3272.4340219","5.5944","3455.50707082","183.07304892","NASDAQ","stocks","XNAS","True","True"
"IRIX","2025-04-29 09:45:00","2025-04-30 16:00:00","3361.48780869","-7.0313","3125.1315164","-236.35629229","NASDAQ","stocks","XNAS","True","True"
"BLNE","2025-04-29 09:45:00","2025-04-30 16:00:00","89.05378679","0","89.05378679","0","NASDAQ","stocks","XNAS","True","True"
"KDOZF","2025-04-29 09:45:00","2025-04-30 16:00:00","178.10757358","9.5238","195.07018267","16.96260909","OTC","otc","OTC Link","True","True"
"IRIX","2025-04-30 09:45:00","2025-05-01 16:00:00","269.17569669","-0.4219","268.04004442","-1.13565226","NASDAQ","stocks","XNAS","True","True"
"MNTR","2025-05-01 10:26:24","2025-05-02 16:00:00","3575.81508458","5.5156","3773.04274138","197.22765681","OTC","otc","OTC Link","True","True"
"ABP","2025-05-02 09:45:00","2025-05-05 16:00:00","3575.53117151","-0.5213","3556.89192752","-18.639244","non tradable","","","","False"
"FTAI","2025-05-05 09:45:00","2025-05-06 16:00:00","3624.83808571","15.223","4176.6471875","551.80910179","NASDAQ","stocks","XNAS","True","True"
"BLNE","2025-05-05 09:45:00","2025-05-06 16:00:00","3624.83808571","-14.1026","3113.64166984","-511.19641588","NASDAQ","stocks","XNAS","True","True"
"IRIX","2025-05-06 09:45:00","2025-05-07 16:00:00","3610.85865272","-0.4329","3595.22724561","-15.63140711","NASDAQ","stocks","XNAS","True","True"
"MNTR","2025-05-06 09:45:00","2025-05-07 16:00:00","3620.17827472","-13.6105","3127.45391064","-492.72436408","OTC","otc","OTC Link","True","True"
"BLNE","2025-05-07 09:45:00","2025-05-08 16:00:00","3630.33144619","12.0301","4067.0639495","436.73250331","NASDAQ","stocks","XNAS","True","True"
"MNTR","2025-05-07 09:45:00","2025-05-08 16:00:00","10.15317148","0.2278","10.1763004","0.02312892","OTC","otc","OTC Link","True","True"
"NEO","2025-05-07 09:45:00","2025-05-08 16:00:00","3630.33144619","3.9655","3774.29223969","143.9607935","NASDAQ","stocks","XNAS","True","True"
"OGN","2025-05-07 12:24:34","2025-05-08 16:00:00","19.47279348","3.4997","20.15428283","0.68148935","NYSE","stocks","XNYS","True","True"
"NKGN","2025-05-08 09:45:00","2025-05-09 16:00:00","3503.2425034","2.3952","3587.15216784","83.90966444","OTC","otc","OTC Link","True","True"
"AIRS","2025-05-08 09:45:00","2025-05-09 16:00:00","3219.43865285","4.5455","3365.77823681","146.33958397","NASDAQ","stocks","XNAS","True","True"
"NEO","2025-05-09 09:45:00","2025-05-12 16:00:00","3648.59198217","3.1215","3762.48278089","113.89079872","NASDAQ","stocks","XNAS","True","True"
"ICHR","2025-05-09 09:45:00","2025-05-12 16:00:00","3648.59198217","3.5724","3778.93428214","130.34229997","NASDAQ","stocks","XNAS","True","True"
"IRIX","2025-05-09 09:45:00","2025-05-12 16:00:00","574.50280809","-1.7094","564.68225709","-9.820551","NASDAQ","stocks","XNAS","True","True"
"HCWB","2025-05-12 09:45:00","2025-05-13 16:00:00","3706.15429427","25.6261","4655.89709987","949.7428056","NASDAQ","stocks","XNAS","True","True"
"RYES","2025-05-13 09:45:00","2025-05-14 16:00:00","3764.75743119","16.8831","4400.36519306","635.60776187","OTC","otc","OTC Link","True","True"
"CVRX","2025-05-13 09:45:00","2025-05-14 16:00:00","3764.75743119","5.4835","3971.19790493","206.44047374","NASDAQ","stocks","XNAS","True","True"
"VSTS","2025-05-13 09:45:00","2025-05-14 16:00:00","3764.75743119","-8.9552","3427.61587371","-337.14155748","NYSE","stocks","XNYS","True","True"
"NEO","2025-05-14 09:45:00","2025-05-15 16:00:00","4002.19313259","-6.7776","3730.94049084","-271.25264175","NASDAQ","stocks","XNAS","True","True"
"HFFG","2025-05-15 09:45:00","2025-05-16 16:00:00","126.22666953","9.9217","138.750501","12.52383147","NASDAQ","stocks","XNAS","True","True"
"LPRO","2025-05-15 09:45:00","2025-05-16 16:00:00","4128.41980213","7.3308","4431.06600098","302.64619885","NASDAQ","stocks","XNAS","True","True"
"DCGO","2025-05-15 09:45:00","2025-05-16 16:00:00","4128.41980213","3.5211","4273.78559178","145.36578965","NASDAQ","stocks","XNAS","True","True"
"MASS","2025-05-15 09:45:00","2025-05-16 16:00:00","4128.41980213","3.386","4268.20809663","139.7882945","NASDAQ","stocks","XNAS","True","True"
"APUS","2025-05-16 09:45:00","2025-05-19 16:00:00","3730.94049084","-1.0995","3689.91880014","-41.0216907","AMEX","stocks","XASE","True","True"
"SNRG","2025-05-19 09:45:00","2025-05-20 16:00:00","4210.68767031","0","4210.68767031","0","OTC","otc","OTC Link","True","True"
"IOVA","2025-05-19 09:45:00","2025-05-20 16:00:00","4210.68767031","12.6844","4744.78813716","534.10046685","NASDAQ","stocks","XNAS","True","True"
"BCDA","2025-05-19 09:45:00","2025-05-20 16:00:00","4210.68767031","-11.9101","3709.19055808","-501.49711222","NASDAQ","stocks","XNAS","True","True"
"PLUG","2025-05-19 09:45:00","2025-05-20 16:00:00","479.74717947","6.6994","511.88736201","32.14018254","NASDAQ","stocks","XNAS","True","True"
"ABP","2025-05-20 09:45:00","2025-05-21 16:00:00","3689.91880014","-9.0714","3355.19150611","-334.72729404","non tradable","","","","False"
"ZOMDF","2025-05-21 09:45:00","2025-05-22 16:00:00","4216.61813192","-0.3036","4203.81647928","-12.80165265","OTC","otc","OTC Link","True","True"
"GREE","2025-05-21 09:45:00","2025-05-22 16:00:00","4216.61813192","23.6197","5212.57068483","995.95255291","NASDAQ","stocks","XNAS","True","True"
"RLMD","2025-05-21 09:45:00","2025-05-22 16:00:00","4216.61813192","5.0923","4431.34097706","214.72284513","NASDAQ","stocks","XNAS","True","True"
"VFF","2025-05-21 09:45:00","2025-05-22 16:00:00","526.69933178","13.0841","595.61319905","68.91386727","NASDAQ","stocks","XNAS","True","True"
"BLMH","2025-05-22 09:45:00","2025-05-23 16:00:00","3355.19150611","-4","3220.98384586","-134.20766024","OTC","otc","OTC Link","True","True"
"PHIO","2025-05-23 09:45:00","2025-05-26 16:00:00","1094.44170547","-5.4151","1035.17659268","-59.26511279","NASDAQ","stocks","XNAS","True","True"
"NTHI","2025-05-23 09:45:00","2025-05-26 16:00:00","4449.63321158","6.3128","4730.52965696","280.89644538","NASDAQ","stocks","XNAS","True","True"
"PRME","2025-05-23 09:45:00","2025-05-26 16:00:00","4449.63321158","-2.3453","4345.27596387","-104.35724771","NASDAQ","stocks","XNAS","True","True"
"BCDA","2025-05-23 09:45:00","2025-05-26 16:00:00","4449.63321158","7.2539","4772.40515512","322.77194353","NASDAQ","stocks","XNAS","True","True"
