strategy,pred_threshold,vol_q,vol_cap,lr_q,lr_cap,val_n_trades,val_return_pct,val_max_drawdown_pct,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
lossrate_cap,0.55,,,0.8,0.6,566,2075.220845536947,-11.40404486138772,2069.518823106253,537,415.94168558240466,-13.936930479697518,0.4312233548911819,-12.517122222222222,408.9732203425559
lossrate_cap,0.85,,,0.75,0.5625,387,3085.814697231779,-6.6463340907357065,3082.491530186411,374,416.8314860785488,-17.602357096593103,0.5346110466451043,-12.340084210526314,408.03030753025223
lossrate_cap,0.55,,,0.75,0.5714285714285714,561,1962.3566427391015,-11.404044632722265,1956.6546204227404,532,411.2436853659323,-14.866843758415438,0.4381159333330689,-12.40783333333333,403.8102634867246
vol_cap,0.8,0.9,2.076876607274869,,,359,1084.096494205845,-13.997360476118615,1077.0978139677857,378,402.74893146838576,-9.231050937767993,0.556596834814952,-11.881163157894736,398.13340599950175
lossrate_cap,0.95,,,0.8,0.5882352941176471,348,3882.726848374874,-6.316890458368752,3879.5684031456894,349,400.59630019098176,-15.081688977486573,0.5471003330102655,-12.440194444444444,393.0554557022385
vol_cap,0.65,0.9,1.887559713824778,,,408,1309.7654286440898,-11.120825954681079,1304.2050156667492,437,394.2013421861192,-12.287320405409673,0.5134744797484103,-11.71353181818182,388.05768198341434
vol_cap,0.7,0.85,1.6510539940685052,,,372,1132.895724631543,-9.130861456474948,1128.3302939033056,410,384.05549852233554,-10.818971249413089,0.5190798667300898,-11.494857142857144,378.646012897629
lossrate_cap,0.95,,,0.6,0.5,319,2880.2186693244566,-6.31689045836874,2877.060224095272,317,383.8926671387592,-12.192162768432924,0.5536419029056366,-12.683512499999999,377.7965857545427
lossrate_cap,0.95,,,0.7,0.5276262626262626,325,2875.3942864337646,-6.316890458368752,2872.23584120458,317,383.8926671387592,-12.192162768432924,0.5536419029056366,-12.683512499999999,377.7965857545427
lossrate_cap,0.55,,,0.5,0.4864864864864865,480,1075.4631728743436,-8.522813228316151,1071.2017662601857,480,380.1267057473745,-16.51532803227337,0.4579137915193422,-12.085662499999998,371.8690417312378
vol_cap,0.6,0.85,1.5524987852113274,,,416,909.1672084086468,-12.263461879701632,903.035477468796,435,376.4615132117603,-11.509732364872537,0.4417353650145274,-11.509186363636363,370.706647029324
vol_and_lossrate_cap,0.75,0.9,2.0278556045998544,0.9,0.6666666666666666,357,797.8337542009829,-9.832150000000016,792.9176792009829,377,373.16021330670725,-9.35897297165329,0.5112784225472825,-11.929931578947368,368.4807268208806
lossrate_cap,0.95,,,0.75,0.5555555555555556,337,3577.4937853786596,-6.316890458368752,3574.335340149475,327,373.74769944130327,-15.898692521999525,0.5498602333012469,-12.38765882352941,365.7983531803035
vol_cap,0.6,0.9,1.8045272496428597,,,433,1102.7853767695597,-12.15071024373825,1096.7100216476906,442,361.02318597169517,-12.571668301951778,0.45393869227267136,-11.804295652173911,354.73735182071925
vol_cap,0.7,0.8,1.4976182675174505,,,370,1045.0695041404836,-9.938240807498245,1040.1003837367343,389,359.8004495463532,-10.818971249413101,0.5007171313398334,-11.542,354.39096392164663
vol_cap,0.95,0.9,2.244852645214776,,,295,1636.2433292797289,-9.046340360051708,1631.720159099703,328,359.31678069343906,-12.005332874587648,0.6012781793994318,-11.909117647058823,353.3141142561452
vol_cap,0.65,0.85,1.5924524563754905,,,392,1133.1396883388113,-10.486997710601964,1127.8961894835104,424,356.079858542214,-10.104955576312724,0.46752066485011307,-11.32319090909091,351.0273807540577
vol_and_lossrate_cap,0.7,0.9,1.9589731815770908,0.8,0.6,359,715.4316625439561,-9.832149999999995,710.5155875439561,391,348.00143980059096,-9.669766760527022,0.500921827936272,-11.827065,343.1665564203274
vol_and_lossrate_cap,0.65,0.9,1.887559713824778,0.9,0.6666666666666666,389,975.9008575709098,-8.01146179408131,971.8951266738692,432,342.1693547326078,-8.590857904478899,0.4515841458293464,-11.88586818181818,337.8739257803684
vol_and_lossrate_cap,0.7,0.9,1.9589731815770908,0.6,0.5,322,524.6457794258394,-9.290178448695185,520.0006902014918,357,338.5378520481612,-11.58063333162046,0.4868694840034781,-12.201749999999999,332.747535382351
vol_cap,0.5,0.9,1.6615187819989765,,,461,957.6809278943708,-11.202830182999634,952.079512802871,480,333.5152821732341,-12.728999116942575,0.4310562943403245,-11.642816666666667,327.1507826147628
vol_cap,0.55,0.9,1.7316747327050028,,,446,997.9338503315016,-12.176771530073117,991.845464566465,465,330.4063024312935,-13.117608288446759,0.4204021813237803,-11.79214583333333,323.84749828707015
vol_cap,0.7,0.75,1.360169714009436,,,349,656.2979090563997,-9.938240807498255,651.3287886526506,373,325.9162317033587,-8.322656635109082,0.5068691861359057,-11.364447368421054,321.75490338580414
vol_cap,0.75,0.8,1.541985880515803,,,343,902.9632749477555,-9.938240807498255,897.9941545440064,365,323.6767156238499,-10.818971249413112,0.5532053840380362,-11.32643157894737,318.2672299991433
vol_and_lossrate_cap,0.75,0.9,2.0278556045998544,0.85,0.6363636363636364,340,622.2796048618809,-9.832150000000006,617.3635298618809,372,321.0143881764112,-9.359223020487883,0.49029371410246364,-11.96796842105263,316.3347766661673
vol_and_lossrate_cap,0.6,0.9,1.8045272496428597,0.9,0.7,412,902.3616123371318,-8.065001260995786,898.3291117066339,440,317.0276104927813,-12.75084290794004,0.40249243754734443,-11.905213636363635,310.6521890388113
vol_cap,0.75,0.75,1.4066856348212458,,,328,674.3487675714075,-9.938240807498245,669.3796471676584,345,315.3169952131627,-10.818971249413089,0.524165391286373,-11.28286111111111,309.9075095884562
vol_cap,0.75,0.85,1.7175055467303435,,,352,1011.0536001269758,-9.979846244773904,1006.0636770045888,364,314.53027198786003,-10.818971249413112,0.47730560314681303,-11.966063157894736,309.12078636315346
vol_cap,0.85,0.75,1.5078503282233295,,,289,989.8039655185485,-9.938240807498255,984.8348451147994,313,312.79393810136986,-8.635363329689028,0.5502509475513452,-11.265337500000001,308.4762564365253
