event_key,ticker,company_name,owner_name,title,trade_date,transaction_date,snapshot_timestamp,snapshot_date,snapshot_kind,snapshot_day_idx,snapshot_price,days_remaining_in_10d_cycle,return_since_first_snapshot_pct,max_intraday_runup_so_far_pct,lookahead_days_used,label_end_date,hit_8pct_intraday_next3d,prob_HGB,prob_XGBoost,prob_ElasticNet,prob_SplineElasticNet,prob_ensemble_raw,prob_ensemble_calibrated,prob_metadata_baseline,prob_global_base_rate
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-03 09:30:00,2024-10-03,open,0,72.32,9,0.0,11.767146017699126,3,2024-10-07,0,0.0004760133587073935,0.059377968311309814,0.04561095837782982,0.02980390043717562,0.033817210121255666,0.05569713007143952,0.1783102882704224,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-03 16:00:00,2024-10-03,close,1,72.34,8,0.027654867256643456,11.767146017699126,3,2024-10-08,0,0.0004973162604877154,0.059377968311309814,0.03877215467369777,0.022234312508761244,0.030220437938564135,0.054974583293399534,0.08176424861316091,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-04 16:00:00,2024-10-04,close,2,76.05,7,5.157632743362828,11.767146017699126,3,2024-10-09,0,0.005483626713534894,0.07186995446681976,0.05042675825103613,0.03131339418107437,0.03977343340311629,0.05691334454625999,0.08176424861316091,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-07 16:00:00,2024-10-07,close,3,73.64,6,1.8252212389380684,11.767146017699126,3,2024-10-10,0,0.003692383243669304,0.07084574550390244,0.05457039664556485,0.03349917717492359,0.040651925642015044,0.05709482429474699,0.08176424861316091,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-08 16:00:00,2024-10-08,close,4,74.63,5,3.1941371681415864,11.767146017699126,3,2024-10-11,0,0.007711353646705256,0.07264507561922073,0.048435669214017714,0.033059760493722445,0.040462964743416534,0.05705574274056219,0.08176424861316091,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-09 16:00:00,2024-10-09,close,5,75.6,4,4.535398230088505,11.767146017699126,3,2024-10-14,0,0.0034596058572094516,0.07231388986110687,0.03652902961985993,0.02760151663729853,0.0349760104938687,0.05593181596664742,0.08176424861316091,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-10 16:00:00,2024-10-10,close,6,76.53,3,5.8213495575221375,11.767146017699126,3,2024-10-15,0,0.0033684194877263655,0.06338025629520416,0.022303812253398964,0.01896126049247905,0.027003437132202136,0.054335815489751686,0.08176424861316091,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-11 16:00:00,2024-10-11,close,7,77.23,2,6.789269911504436,11.767146017699126,2,2024-10-15,0,0.0027792940259338053,0.06652702391147614,0.020397358107175443,0.015627193602718966,0.026332717411826086,0.05420352148660853,0.08176424861316091,0.10439814814814814
AIG|2024-09-30,AIG,"American International Group, Inc.",Inglis John C,Dir,2024-09-30,2024-10-02 16:12:01,2024-10-14 16:00:00,2024-10-14,close,8,77.62,1,7.328539823008873,11.767146017699126,1,2024-10-15,0,0.0025876037876980712,0.0680093914270401,0.0201524575372719,0.011616759353513677,0.02559155302638094,0.054057686025762795,0.08176424861316091,0.10439814814814814
DYNR|2024-10-18,DYNR,Dynaresource Inc,Rose Matthew K,"Dir, 10%",2024-10-18,2024-10-22 20:16:25,2024-10-23 09:30:00,2024-10-23,open,0,0.9299,9,0.0,223.690719432197,3,2024-10-25,0,0.6601972566088232,0.2324734479188919,0.7885422883876722,0.4967036616782778,0.5444791636484162,0.29566553009387214,0.2405810339978167,0.10439814814814814
DYNR|2024-10-18,DYNR,Dynaresource Inc,Rose Matthew K,"Dir, 10%",2024-10-18,2024-10-22 20:16:25,2024-10-23 16:00:00,2024-10-23,close,1,0.9,8,-3.2153995053231466,223.690719432197,3,2024-10-28,0,0.6743257447611013,0.2324734479188919,0.7747493395294824,0.4434856207540023,0.5312585382408694,0.28519596799617786,0.11503892527415593,0.10439814814814814
