decile_score_threshold,raw_pred_mean4_cutoff,val_n_trades,val_return_pct,val_max_drawdown_pct,val_win_rate_pct,val_mean_trade_ret_pct,val_std_trade_ret_pct,val_sharpe_trade,val_sortino_trade,val_cvar5_trade_ret_pct,val_objective_val,test_n_trades,test_return_pct,test_max_drawdown_pct,test_win_rate_pct,test_mean_trade_ret_pct,test_std_trade_ret_pct,test_sharpe_trade,test_sortino_trade,test_cvar5_trade_ret_pct,test_objective_val
0.165,-0.07925997624189529,570,369.07663050639457,-18.59278566142818,53.1578947368421,1.2517228529167097,7.190364748281485,0.174083359709377,0.3355016188406791,-12.41348669165018,359.7802376756805,564,373.32313250154436,-14.868950007389437,51.41843971631206,1.362842949908861,7.605017209198426,0.17920313819414824,0.36756612893740026,-12.55659051425866,365.88865749784964
0.17,-0.06952750793809394,570,369.07663050639457,-18.59278566142818,53.1578947368421,1.2517228529167097,7.190364748281485,0.174083359709377,0.3355016188406791,-12.41348669165018,359.7802376756805,564,373.32313250154436,-14.868950007389437,51.41843971631206,1.362842949908861,7.605017209198426,0.17920313819414824,0.36756612893740026,-12.55659051425866,365.88865749784964
0.175,-0.0609778070438169,570,369.07663050639457,-18.59278566142818,53.1578947368421,1.2517228529167097,7.190364748281485,0.174083359709377,0.3355016188406791,-12.41348669165018,359.7802376756805,570,405.5920163009906,-14.868950007389437,51.2280701754386,1.3288853605222422,7.552537792443378,0.17595216297386107,0.35917986467074,-12.55659051425866,398.1575412972959
0.18,-0.05154741892542838,570,369.07663050639457,-18.59278566142818,53.1578947368421,1.2517228529167097,7.190364748281485,0.174083359709377,0.3355016188406791,-12.41348669165018,359.7802376756805,570,405.5920163009906,-14.868950007389437,51.2280701754386,1.3288853605222422,7.552537792443378,0.17595216297386107,0.35917986467074,-12.55659051425866,398.1575412972959
0.185,-0.04317027591297547,570,369.07663050639457,-18.59278566142818,53.1578947368421,1.2517228529167097,7.190364748281485,0.174083359709377,0.3355016188406791,-12.41348669165018,359.7802376756805,570,405.5920163009906,-14.868950007389437,51.2280701754386,1.3288853605222422,7.552537792443378,0.17595216297386107,0.35917986467074,-12.55659051425866,398.1575412972959
0.19,-0.03490813680578622,571,373.69126261787795,-17.791926439369643,53.06479859894922,1.2398533633963926,7.196582994509147,0.17228361909289125,0.3308125298405286,-12.515543293027342,364.79529939819315,570,405.5920163009906,-14.868950007389437,51.2280701754386,1.3288853605222422,7.552537792443378,0.17595216297386107,0.35917986467074,-12.55659051425866,398.1575412972959
0.195,-0.025588805390031822,571,373.69126261787795,-17.791926439369643,53.06479859894922,1.2398533633963926,7.196582994509147,0.17228361909289125,0.3308125298405286,-12.515543293027342,364.79529939819315,571,388.3982573079658,-14.868950007389437,50.78809106830122,1.310473282766274,7.527732338694369,0.17408606254902603,0.3560775050049374,-12.55659051425866,380.9637823042711
0.2,-0.018652239981595382,571,371.46024036384017,-17.79192643936962,53.59019264448336,1.3787106826432372,7.298271324436126,0.1889092116960667,0.36832739579253515,-12.428087759912666,362.56427714415537,571,388.3982573079658,-14.868950007389437,50.78809106830122,1.310473282766274,7.527732338694369,0.17408606254902603,0.3560775050049374,-12.55659051425866,380.9637823042711
0.205,-0.009652245130924513,571,371.46024036384017,-17.79192643936962,53.59019264448336,1.3787106826432372,7.298271324436126,0.1889092116960667,0.36832739579253515,-12.428087759912666,362.56427714415537,571,388.3982573079658,-14.868950007389437,50.78809106830122,1.310473282766274,7.527732338694369,0.17408606254902603,0.3560775050049374,-12.55659051425866,380.9637823042711
0.21,-0.0017465413287971404,567,377.0968931799266,-17.791926439369643,53.26278659611992,1.2671459530056517,7.183002464151653,0.17640895424018313,0.34181274646678106,-12.371820854205351,368.2009299602418,571,388.3982573079658,-14.868950007389437,50.78809106830122,1.310473282766274,7.527732338694369,0.17408606254902603,0.3560775050049374,-12.55659051425866,380.9637823042711
0.215,0.007042159896151292,570,378.0328019764151,-17.791926439369597,53.1578947368421,1.233536996851106,7.181877777158736,0.17175689076389614,0.331855333932462,-12.41348669165018,369.1368387567303,569,386.53297909031164,-14.868950007389437,50.43936731107206,1.284906604845537,7.5397953653624326,0.17041664164366516,0.3496927958980879,-12.55659051425866,379.0985040866169
0.22,0.015557111781123376,570,378.0328019764151,-17.791926439369597,53.1578947368421,1.233536996851106,7.181877777158736,0.17175689076389614,0.331855333932462,-12.41348669165018,369.1368387567303,569,386.53297909031164,-14.868950007389437,50.43936731107206,1.284906604845537,7.5397953653624326,0.17041664164366516,0.3496927958980879,-12.55659051425866,379.0985040866169
0.225,0.023512166256299635,570,378.0328019764151,-17.791926439369597,53.1578947368421,1.233536996851106,7.181877777158736,0.17175689076389614,0.331855333932462,-12.41348669165018,369.1368387567303,569,386.53297909031164,-14.868950007389437,50.43936731107206,1.284906604845537,7.5397953653624326,0.17041664164366516,0.3496927958980879,-12.55659051425866,379.0985040866169
0.23,0.03250993075043874,572,378.8061415223659,-17.791926439369544,53.32167832167832,1.2576602974286746,7.153233913669727,0.17581702382544823,0.3397878827657768,-12.371820854205351,369.9101783026812,570,377.43109869926303,-16.461550443326843,50.35087719298246,1.2892081987750577,7.576746883735999,0.17015326215297366,0.34849747103760986,-12.60752209607121,369.2003234775996
0.235,0.040490287702462185,572,378.8061415223659,-17.791926439369544,53.32167832167832,1.2576602974286746,7.153233913669727,0.17581702382544823,0.3397878827657768,-12.371820854205351,369.9101783026812,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
0.24,0.04886872308689961,572,378.8061415223659,-17.791926439369544,53.32167832167832,1.2576602974286746,7.153233913669727,0.17581702382544823,0.3397878827657768,-12.371820854205351,369.9101783026812,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
0.245,0.05626749532142476,573,377.5303616206072,-18.010970012364403,53.054101221640494,1.2308645569200944,7.1536909610630115,0.17206006851841874,0.33408351637342915,-12.371820854205351,368.524876614425,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
0.25,0.0631452503368598,574,373.55596662363934,-18.010970012364304,53.83275261324042,1.277257241439538,7.185995774913346,0.17774255391277907,0.34358885586144355,-12.371820854205351,364.5504816174572,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
0.255,0.07129464000594264,571,373.66376270915254,-18.257500046746777,53.06479859894922,1.2299727507070146,7.2301486416078635,0.1701172149668958,0.3301477221402442,-12.395035756069374,364.5350126857791,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
0.26,0.08045926398826196,572,366.327013602689,-18.257500046746834,53.14685314685315,1.2621349694226376,7.206997401169611,0.17512632503763745,0.34030023414464955,-12.371820854205351,357.1982635793156,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
0.265,0.08667130665351601,574,366.97294234837415,-18.257500046746788,52.78745644599303,1.2244818452648263,7.2245056705331745,0.169490052483336,0.32766230572520405,-12.515543293027342,357.84419232500073,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
0.27,0.09503513386816557,580,363.5751572321295,-18.852274228542075,52.93103448275862,1.3180219428686237,7.276314047953254,0.1811386828801553,0.355180077341207,-12.428087759912666,354.14902011785847,570,383.08531576141877,-16.461550443326843,50.70175438596492,1.3261854248475333,7.55781282184426,0.17547211820521338,0.36000595387658313,-12.55659051425866,374.85454053975536
