horizon,target,scenario,n_train,n_val,n_test,r2_test,top_decile_mean,bottom_decile_mean,decile_spread,top_decile_win_rate,n_decile,delta_top_decile_mean,delta_decile_spread,delta_top_decile_win_rate
1,return_1d_pct,plus_market_relative_5d,8896,2965,2965,0.02156176142595212,2.3800592060810812,-0.6810724662162163,3.0611316722972974,0.5371621621621622,296,-0.4970245777027027,0.19187702702702714,-0.04391891891891886
1,return_1d_pct,plus_all_candidates,8896,2965,2965,0.02957791745571703,3.0201523648648645,-0.34195059121621624,3.3621029560810807,0.5675675675675675,296,0.14306858108108056,0.4928483108108104,-0.013513513513513487
3,return_3d_pct,baseline,8873,2958,2957,-0.010886822332858648,0.886011762039612,0.0902000754465874,0.7958116865930246,0.5694915254237288,295,0.0,0.0,0.0
3,return_3d_pct,plus_cluster_buy,8873,2958,2957,-0.010886822332858648,0.886011762039612,0.0902000754465874,0.7958116865930246,0.5694915254237288,295,0.0,0.0,0.0
3,return_3d_pct,plus_insider_bought_ticker,8873,2958,2957,-0.016493632672173852,0.9183613951074551,-0.02898631263213116,0.9473477077395862,0.5627118644067797,295,0.03234963306784311,0.15153602114656162,-0.006779661016949157
3,return_3d_pct,plus_days_since_last_buy_any,8873,2958,2957,-0.007362393214981999,0.7298257716512214,0.027767893829584014,0.7020578778216374,0.5389830508474577,295,-0.15618599038839054,-0.09375380877138717,-0.03050847457627115
3,return_3d_pct,plus_days_since_last_buy_same_ticker,8873,2958,2957,0.00330249438574437,0.8859365651981763,-0.11663291944870922,1.0025694846468856,0.5661016949152542,295,-7.519684143564298e-05,0.20675779805386096,-0.003389830508474634
3,return_3d_pct,plus_filing_hour_et,8873,2958,2957,-0.02008090202221613,0.8744783440577095,0.06246559410220344,0.8120127499555061,0.5559322033898305,295,-0.011533417981902438,0.016201063362481505,-0.013559322033898313
3,return_3d_pct,plus_is_after_close,8873,2958,2957,-0.024199472357636642,0.6981315774447199,0.014146839430097263,0.6839847380146226,0.535593220338983,295,-0.18788018459489209,-0.11182694857840203,-0.03389830508474578
3,return_3d_pct,plus_filing_weekday,8873,2958,2957,-0.01623817107422676,0.794811411125965,0.008869441609568427,0.7859419695163966,0.5559322033898305,295,-0.09120035091364698,-0.009869717076627982,-0.013559322033898313
3,return_3d_pct,plus_momentum_slope,8873,2958,2957,-0.01368030660444819,0.8913872577098924,-0.10722425833953612,0.9986115160494284,0.5694915254237288,295,0.005375495670280395,0.20279982945640385,0.0
3,return_3d_pct,plus_vol_regime,8873,2958,2957,-0.014601768798411685,0.58808144859414,0.1691099985762568,0.4189714500178832,0.535593220338983,295,-0.29793031344547194,-0.3768402365751414,-0.03389830508474578
3,return_3d_pct,plus_qty_log,8873,2958,2957,-0.010036896824421548,0.8208745763677605,0.21116892974705812,0.6097056466207024,0.5491525423728814,295,-0.06513718567185145,-0.18610603997232222,-0.02033898305084747
3,return_3d_pct,plus_value_per_share_delta,8873,2958,2957,-0.006182033435988554,0.7744727600064418,-0.16059938587571526,0.9350721458821571,0.5423728813559322,295,-0.11153900203317013,0.13926045928913255,-0.027118644067796627
3,return_3d_pct,plus_ticker_buy_count_30d,8873,2958,2957,-0.0013156793530684219,0.9733840586544987,-0.16141045035250948,1.1347945090070082,0.5898305084745763,295,0.08737229661488677,0.3389828224139836,0.02033898305084747
3,return_3d_pct,plus_ticker_buy_count_90d,8873,2958,2957,-0.007076585455307649,0.8110708741890602,0.0028829618803604237,0.8081879123086998,0.5661016949152542,295,-0.07494088785055175,0.012376225715675204,-0.003389830508474634
3,return_3d_pct,plus_same_ticker_insider_count_365d,8873,2958,2957,-0.012122580596634958,0.7945804423199326,-0.15410670583212155,0.9486871481520542,0.5525423728813559,295,-0.09143131971967933,0.15287546155902965,-0.016949152542372947
3,return_3d_pct,plus_overnight_gap_to_entry,8873,2958,2957,-0.011226415137368662,0.9451601206828019,0.16468173230328742,0.7804783883795144,0.5796610169491525,295,0.0591483586431899,-0.01533329821351015,0.01016949152542368
3,return_3d_pct,plus_open_to_buy_move,8873,2958,2957,-0.02024455956041238,1.0110459781399221,0.15749527353471907,0.8535507046052031,0.5864406779661017,295,0.12503421610031018,0.05773901801217851,0.016949152542372836
3,return_3d_pct,plus_market_relative_5d,8873,2958,2957,-0.02735453361849527,0.6953079946565804,0.19074570347215555,0.5045622911844249,0.5491525423728814,295,-0.19070376738303152,-0.29124939540859973,-0.02033898305084747
3,return_3d_pct,plus_all_candidates,8873,2958,2957,0.01900761165038911,1.1332722001654107,-0.2299723723921568,1.3632445725575675,0.5559322033898305,295,0.2472604381257988,0.5674328859645429,-0.013559322033898313
5,return_5d_pct,baseline,8853,2951,2951,-0.011198116314497408,0.4510884534012876,-0.1258194494317201,0.5769079028330077,0.5491525423728814,295,0.0,0.0,0.0
5,return_5d_pct,plus_cluster_buy,8853,2951,2951,-0.011198116314497408,0.4510884534012876,-0.1258194494317201,0.5769079028330077,0.5491525423728814,295,0.0,0.0,0.0
5,return_5d_pct,plus_insider_bought_ticker,8853,2951,2951,-0.009290922880391683,0.4108385628974132,-0.1489878439063311,0.5598264068037443,0.535593220338983,295,-0.0402498905038744,-0.017081496029263454,-0.013559322033898313
5,return_5d_pct,plus_days_since_last_buy_any,8853,2951,2951,0.0022601952558674032,0.42372085324393494,-0.37928303836167926,0.8030038916056141,0.5627118644067797,295,-0.02736760015735268,0.2260959887726064,0.013559322033898313
5,return_5d_pct,plus_days_since_last_buy_same_ticker,8853,2951,2951,-0.004387448009916861,0.3762757125458304,-0.17278337946265476,0.5490590920084852,0.535593220338983,295,-0.0748127408554572,-0.027848810824522507,-0.013559322033898313
5,return_5d_pct,plus_filing_hour_et,8853,2951,2951,-0.02279077472740343,0.2978368098626556,-0.17418180436911382,0.4720186142317694,0.5288135593220339,295,-0.15325164353863202,-0.10488928860123836,-0.02033898305084747
5,return_5d_pct,plus_is_after_close,8853,2951,2951,-0.012409196883813367,0.42991573403936056,-0.17872453457080192,0.6086402686101625,0.5423728813559322,295,-0.02117271936192705,0.03173236577715477,-0.006779661016949157
5,return_5d_pct,plus_filing_weekday,8853,2951,2951,-0.013009333611006646,0.36448452518868674,-0.20054455298031565,0.5650290781690024,0.5322033898305085,295,-0.08660392821260088,-0.01187882466400536,-0.016949152542372836
5,return_5d_pct,plus_momentum_slope,8853,2951,2951,-0.020888152472423815,0.3396373808100914,-0.0936716821430708,0.43330906295316224,0.5288135593220339,295,-0.11145107259119619,-0.1435988398798455,-0.02033898305084747
5,return_5d_pct,plus_vol_regime,8853,2951,2951,-0.006163624003711066,0.3878649104937616,-0.17509905904778095,0.5629639695415425,0.5288135593220339,295,-0.06322354290752602,-0.01394393329146526,-0.02033898305084747
